,Test,Die,VDD (V),,Freq (GHz),Comp. level (dB),Pin_comp(dBm),Pout_comp (dBm),Linear Gain,Id (mA),,,,,,,,,,,,,,,,
693862,PDB2,AD10,5,#,0.5,1,1.33,16.88,16.55,66.39,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,2,1,0.11,16.06,16.95,64.855,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,6,1,0.1,15.79,16.69,64.274,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,8,1,-0.35,15.67,17.02,62.335,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,12,1,-4.62,13.09,18.72,60.268,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,0.5,3,5.16,18.71,16.55,70.883,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,2,3,3.9,17.86,16.95,70.517,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,6,3,4.02,17.71,16.69,69.217,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,8,3,3.8,17.82,17.02,65.642,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD10,5,#,12,3,0.06,15.78,18.72,62.861,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD15,5,#,0.5,1,0.97,16.63,16.65,64.983,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD15,5,#,2,1,-0.25,15.79,17.04,63.663,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD15,5,#,6,1,-0.18,15.57,16.75,63.153,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD15,5,#,8,1,-1.08,15.1,17.18,61.188,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
