,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
0,0.5,1,1.33,16.88,16.55,66.39
10,0.5,1,0.97,16.63,16.65,64.983
20,0.5,1,1.11,16.72,16.6,65.554
30,0.5,1,1.16,16.79,16.63,66.031
40,0.5,1,1.08,16.66,16.58,65.069
50,0.5,1,1.03,16.62,16.58,65.373
60,0.5,1,0.98,16.46,16.48,64.829
70,0.5,1,0.92,16.37,16.45,64.717
80,0.5,1,0.78,16.21,16.42,64.332
90,0.5,1,0.99,16.31,16.31,64.775
100,0.5,1,0.92,16.3,16.38,64.985
110,0.5,1,0.97,16.32,16.35,65.028
120,0.5,1,0.45,15.82,16.37,63.861000000000004
130,0.5,1,-0.05,15.29,16.35,62.035
140,0.5,1,0.67,15.99,16.31,63.946000000000005
150,0.5,1,0.55,15.93,16.38,63.989
160,0.5,1,0.65,16.02,16.36,64.16
170,0.5,1,0.67,15.99,16.31,64.157
180,0.5,1,0.85,16.22,16.37,64.869
190,0.5,1,0.89,16.24,16.35,64.852
200,0.5,1,0.84,16.22,16.38,64.611
210,0.5,1,0.96,16.32,16.36,64.968
220,0.5,1,0.79,16.16,16.37,64.044
230,0.5,1,0.63,16.02,16.39,64.149
240,0.5,1,1.02,16.49,16.46,65.539
250,0.5,1,1.06,16.53,16.47,65.999
260,0.5,1,1.06,16.58,16.51,66.063
270,0.5,1,1.05,16.53,16.48,65.723
280,0.5,1,1.07,16.59,16.51,65.825
290,0.5,1,1.05,16.54,16.49,65.477
300,0.5,1,1.55,17.01,16.46,67.01
310,0.5,1,1.47,16.97,16.5,66.81
320,0.5,1,1.38,16.96,16.57,66.77
330,0.5,1,1.37,16.82,16.45,66.101
340,0.5,1,0.85,16.46,16.61,64.78699999999999
350,0.5,1,0.9,16.48,16.57,64.538
360,0.5,1,0.71,16.35,16.64,64.384
370,0.5,1,0.65,16.28,16.62,64.325
380,0.5,1,0.73,16.36,16.62,64.71300000000001
390,0.5,1,0.74,16.3,16.55,64.111
400,0.5,1,0.48,15.93,16.45,63.38399999999999
410,0.5,1,0.42,15.86,16.43,63.352
420,0.5,1,0.45,15.9,16.45,63.571999999999996
430,0.5,1,0.64,16.04,16.39,63.824
440,0.5,1,0.59,16.02,16.43,64.193
450,0.5,1,0.59,15.98,16.39,64.10600000000001
460,0.5,1,0.5,15.9,16.4,63.665
470,0.5,1,0.55,15.94,16.38,63.77
480,0.5,1,0.67,16.08,16.4,64.19800000000001
490,0.5,1,0.63,16.02,16.38,64.096
500,0.5,1,0.5,15.87,16.37,63.38
510,0.5,1,0.68,16.09,16.4,64.329
520,0.5,1,0.68,16.1,16.41,64.214
530,0.5,1,0.48,15.88,16.39,63.636
540,0.5,1,0.59,16.0,16.41,63.885
550,0.5,1,0.55,15.94,16.39,63.523999999999994
560,0.5,1,0.62,16.06,16.43,64.14
570,0.5,1,0.69,16.13,16.44,64.161
580,0.5,1,0.79,16.27,16.48,64.741
590,0.5,1,0.95,16.42,16.46,65.101
600,0.5,1,0.91,16.41,16.49,65.078
610,0.5,1,1.02,16.51,16.48,65.275
620,0.5,1,1.13,16.66,16.52,66.096
630,0.5,1,1.16,16.69,16.53,66.567
640,0.5,1,1.39,16.84,16.44,66.455
650,0.5,1,0.98,16.48,16.49,64.567
660,0.5,1,1.09,16.62,16.53,65.66
670,0.5,1,0.69,16.27,16.57,64.46600000000001
680,0.5,1,0.77,16.29,16.52,64.134
690,0.5,1,0.59,16.15,16.56,63.98
700,0.5,1,0.61,16.15,16.54,64.354
710,0.5,1,0.32,15.87,16.55,63.504
720,0.5,1,0.34,15.87,16.53,63.766000000000005
730,0.5,1,0.28,15.82,16.54,63.38399999999999
740,0.5,1,0.49,16.01,16.52,64.203
750,0.5,1,0.38,15.91,16.53,63.656000000000006
760,0.5,1,0.42,15.9,16.47,63.453
770,0.5,1,0.33,15.88,16.54,63.67
780,0.5,1,-0.22,15.3,16.52,62.016000000000005
790,0.5,1,0.41,15.91,16.5,63.571999999999996
800,0.5,1,0.35,15.83,16.47,63.321000000000005
810,0.5,1,0.44,15.9,16.45,63.25
820,0.5,1,0.44,15.91,16.47,63.53
830,0.5,1,0.45,15.9,16.45,63.388000000000005
840,0.5,1,0.51,15.94,16.43,63.769
850,0.5,1,0.51,15.92,16.41,63.375
860,0.5,1,0.43,15.86,16.42,63.341
870,0.5,1,0.51,15.96,16.44,64.00399999999999
880,0.5,1,0.54,15.96,16.42,63.702
890,0.5,1,0.71,16.15,16.43,64.446
900,0.5,1,0.89,16.28,16.38,64.98899999999999
910,0.5,1,1.01,16.46,16.45,65.42399999999999
920,0.5,1,0.75,16.17,16.42,64.62
930,0.5,1,1.11,16.61,16.5,66.256
940,0.5,1,1.04,16.54,16.49,65.926
950,0.5,1,0.92,16.38,16.46,64.75
960,0.5,1,1.19,16.7,16.51,66.586
970,0.5,1,1.19,16.73,16.53,66.51899999999999
980,0.5,1,1.26,16.76,16.49,66.473
990,0.5,1,1.07,16.51,16.43,65.454
