,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
6,2.0,3,3.9,17.86,16.95,70.517
16,2.0,3,3.49,17.54,17.04,68.544
26,2.0,3,3.65,17.65,16.99,69.455
36,2.0,3,3.68,17.68,16.99,69.71600000000001
46,2.0,3,3.6,17.58,16.97,68.987
56,2.0,3,3.62,17.54,16.91,68.979
66,2.0,3,3.47,17.38,16.9,68.093
76,2.0,3,3.39,17.31,16.92,67.76899999999999
86,2.0,3,3.35,17.22,16.86,67.307
96,2.0,3,3.47,17.28,16.8,67.71300000000001
106,2.0,3,3.47,17.35,16.88,68.001
116,2.0,3,3.52,17.37,16.85,68.102
126,2.0,3,3.14,17.0,16.86,66.352
136,2.0,3,2.66,16.5,16.84,63.801
146,2.0,3,3.28,17.09,16.8,66.664
156,2.0,3,3.2,17.07,16.87,66.65
166,2.0,3,3.3,17.13,16.82,67.009
176,2.0,3,3.36,17.13,16.77,67.152
186,2.0,3,3.47,17.3,16.82,68.03
196,2.0,3,3.46,17.24,16.77,67.837
206,2.0,3,3.45,17.28,16.83,67.767
216,2.0,3,3.48,17.31,16.83,68.054
226,2.0,3,3.36,17.2,16.84,67.152
236,2.0,3,3.27,17.08,16.8,66.686
246,2.0,3,3.56,17.47,16.9,68.92
256,2.0,3,3.6,17.54,16.93,69.452
266,2.0,3,3.59,17.57,16.97,69.545
276,2.0,3,3.59,17.53,16.93,69.21600000000001
286,2.0,3,3.61,17.57,16.96,69.387
296,2.0,3,3.62,17.55,16.93,69.116
306,2.0,3,4.12,18.04,16.91,71.793
316,2.0,3,4.03,17.96,16.92,71.274
326,2.0,3,3.93,17.91,16.98,71.039
336,2.0,3,3.93,17.81,16.88,70.227
346,2.0,3,3.41,17.38,16.96,68.02600000000001
356,2.0,3,3.42,17.4,16.98,68.005
366,2.0,3,3.31,17.34,17.03,67.691
376,2.0,3,3.19,17.22,17.02,67.315
386,2.0,3,3.31,17.3,16.99,67.65
396,2.0,3,3.28,17.21,16.92,67.057
406,2.0,3,3.1,17.0,16.9,65.98899999999999
416,2.0,3,3.06,16.98,16.92,65.84899999999999
426,2.0,3,3.07,17.02,16.95,66.089
436,2.0,3,3.24,17.12,16.87,66.585
446,2.0,3,3.21,17.15,16.93,66.85600000000001
456,2.0,3,3.28,17.14,16.86,66.866
466,2.0,3,3.18,17.07,16.88,66.373
476,2.0,3,3.19,17.07,16.87,66.493
486,2.0,3,3.26,17.17,16.9,66.998
496,2.0,3,3.3,17.16,16.86,67.006
506,2.0,3,3.19,17.03,16.84,66.195
516,2.0,3,3.33,17.17,16.84,67.184
526,2.0,3,3.31,17.19,16.87,67.12899999999999
536,2.0,3,3.16,16.99,16.83,66.236
546,2.0,3,3.22,17.08,16.86,66.657
556,2.0,3,3.21,17.05,16.83,66.37899999999999
566,2.0,3,3.27,17.15,16.88,67.008
576,2.0,3,3.29,17.19,16.89,67.183
586,2.0,3,3.38,17.27,16.89,67.725
596,2.0,3,3.49,17.41,16.92,68.391
606,2.0,3,3.47,17.42,16.95,68.417
616,2.0,3,3.54,17.48,16.94,68.765
626,2.0,3,3.7,17.69,16.98,69.99
636,2.0,3,3.77,17.75,16.98,70.512
646,2.0,3,4.01,17.88,16.86,70.773
656,2.0,3,3.56,17.44,16.88,67.98899999999999
666,2.0,3,3.53,17.49,16.96,68.834
676,2.0,3,3.33,17.27,16.93,67.544
686,2.0,3,3.32,17.23,16.91,66.995
696,2.0,3,3.18,17.14,16.96,66.79
706,2.0,3,3.18,17.12,16.93,66.946
716,2.0,3,2.94,16.99,17.04,65.878
726,2.0,3,2.97,17.01,17.03,66.104
736,2.0,3,2.97,16.98,17.01,65.79
746,2.0,3,3.14,17.14,17.0,66.815
756,2.0,3,3.05,17.07,17.02,66.21300000000001
766,2.0,3,3.08,17.04,16.96,66.1
776,2.0,3,3.01,17.03,17.02,66.11
786,2.0,3,2.54,16.54,17.0,63.809
796,2.0,3,3.04,17.02,16.98,66.11399999999999
806,2.0,3,3.02,16.96,16.94,65.795
816,2.0,3,3.08,17.0,16.92,65.905
826,2.0,3,3.14,17.05,16.91,66.283
836,2.0,3,3.14,17.03,16.88,66.137
846,2.0,3,3.18,17.04,16.85,66.42399999999999
856,2.0,3,3.16,16.99,16.83,66.071
866,2.0,3,3.14,16.97,16.83,65.99600000000001
876,2.0,3,3.16,17.05,16.89,66.655
886,2.0,3,3.17,17.05,16.88,66.483
896,2.0,3,3.31,17.16,16.85,67.249
906,2.0,3,3.45,17.32,16.87,68.096
916,2.0,3,3.58,17.5,16.92,68.96300000000001
926,2.0,3,3.4,17.3,16.9,67.852
936,2.0,3,3.72,17.72,17.0,69.84899999999999
946,2.0,3,3.68,17.66,16.98,69.545
956,2.0,3,3.55,17.52,16.97,68.33800000000001
966,2.0,3,3.8,17.81,17.01,70.421
976,2.0,3,3.83,17.86,17.02,70.567
986,2.0,3,3.91,17.9,16.99,70.696
996,2.0,3,3.66,17.54,16.88,69.016
1006,2.0,3,3.76,17.54,16.77,69.141
1016,2.0,3,3.76,17.51,16.75,69.046
1026,2.0,3,3.71,17.47,16.75,68.975
1036,2.0,3,3.72,17.46,16.74,68.878
1046,2.0,3,4.08,17.88,16.79,71.095
1056,2.0,3,4.02,17.81,16.79,70.933
1066,2.0,3,3.94,17.77,16.82,70.694
1076,2.0,3,3.9,17.71,16.81,69.958
1086,2.0,3,4.31,18.02,16.7,72.171
1096,2.0,3,4.14,17.91,16.77,71.079
1106,2.0,3,4.05,17.85,16.79,70.654
1116,2.0,3,4.04,17.8,16.76,70.596
1126,2.0,3,3.85,17.71,16.86,70.10600000000001
1136,2.0,3,3.93,17.78,16.85,70.476
1146,2.0,3,3.68,17.55,16.86,69.158
1156,2.0,3,3.59,17.46,16.87,68.692
1166,2.0,3,3.59,17.49,16.9,68.893
1176,2.0,3,3.59,17.48,16.89,68.563
1186,2.0,3,3.57,17.49,16.91,68.609
1196,2.0,3,3.61,17.52,16.9,69.081
1206,2.0,3,3.62,17.52,16.89,68.998
1216,2.0,3,3.64,17.5,16.86,69.024
1226,2.0,3,3.74,17.57,16.83,69.343
1236,2.0,3,3.82,17.55,16.72,69.477
1246,2.0,3,3.76,17.52,16.76,69.39
1256,2.0,3,3.73,17.46,16.73,68.92699999999999
1266,2.0,3,3.47,17.26,16.79,67.668
1276,2.0,3,3.59,17.38,16.78,68.176
1286,2.0,3,3.51,17.33,16.82,68.196
1296,2.0,3,3.52,17.34,16.82,68.165
1306,2.0,3,3.48,17.35,16.87,68.155
1316,2.0,3,3.51,17.35,16.84,68.36
1326,2.0,3,4.17,18.04,16.87,71.715
1336,2.0,3,3.83,17.81,16.98,70.244
1346,2.0,3,3.86,17.81,16.94,70.484
1356,2.0,3,3.72,17.72,16.99,69.684
1366,2.0,3,3.67,17.58,16.91,69.33
1376,2.0,3,3.58,17.51,16.92,68.488
1386,2.0,3,3.77,17.73,16.96,70.262
1396,2.0,3,3.57,17.53,16.96,68.752
1406,2.0,3,3.53,17.45,16.91,68.595
1416,2.0,3,3.41,17.34,16.92,68.155
1426,2.0,3,3.62,17.44,16.82,68.565
1436,2.0,3,3.65,17.54,16.89,69.142
1446,2.0,3,3.63,17.52,16.88,69.079
1456,2.0,3,3.72,17.61,16.88,69.601
1466,2.0,3,3.75,17.6,16.84,69.556
1476,2.0,3,3.77,17.58,16.81,69.415
1486,2.0,3,3.72,17.54,16.81,69.421
1496,2.0,3,3.71,17.53,16.81,69.164
1506,2.0,3,3.77,17.55,16.77,69.437
1516,2.0,3,3.53,17.33,16.79,68.408
1526,2.0,3,3.46,17.22,16.75,67.354
1536,2.0,3,3.59,17.35,16.76,68.51100000000001
1546,2.0,3,3.64,17.45,16.8,68.9
1556,2.0,3,3.68,17.51,16.82,69.329
1566,2.0,3,3.61,17.4,16.79,68.90100000000001
1576,2.0,3,3.65,17.5,16.84,69.116
1586,2.0,3,3.62,17.5,16.88,68.965
1596,2.0,3,3.57,17.5,16.92,69.1
1606,2.0,3,3.65,17.58,16.92,69.512
1616,2.0,3,3.74,17.69,16.94,70.28
1626,2.0,3,3.71,17.68,16.96,69.915
1636,2.0,3,4.11,17.97,16.85,71.444
1646,2.0,3,3.96,17.94,16.98,70.99
1656,2.0,3,3.4,17.48,17.07,68.594
1666,2.0,3,3.69,17.69,17.0,69.941
1676,2.0,3,3.6,17.61,17.01,68.956
1686,2.0,3,3.59,17.58,16.99,69.048
1696,2.0,3,3.62,17.59,16.97,69.016
1706,2.0,3,3.63,17.6,16.96,69.355
1716,2.0,3,3.59,17.55,16.96,69.258
1726,2.0,3,3.58,17.5,16.91,68.96300000000001
1736,2.0,3,3.54,17.46,16.91,68.62899999999999
1746,2.0,3,3.5,17.35,16.85,68.33800000000001
1756,2.0,3,3.51,17.34,16.82,68.168
1766,2.0,3,3.49,17.26,16.77,67.612
1776,2.0,3,3.41,17.25,16.84,67.771
1786,2.0,3,3.39,17.24,16.85,67.655
1796,2.0,3,3.43,17.28,16.84,67.695
1806,2.0,3,3.61,17.41,16.8,68.62
1816,2.0,3,3.71,17.43,16.71,68.714
1826,2.0,3,3.77,17.44,16.66,68.935
1836,2.0,3,3.58,17.38,16.79,68.34
1846,2.0,3,3.58,17.38,16.8,68.47399999999999
1856,2.0,3,3.54,17.29,16.75,67.90100000000001
1866,2.0,3,3.54,17.35,16.81,68.55199999999999
1876,2.0,3,3.49,17.38,16.88,68.513
1886,2.0,3,3.41,17.19,16.78,67.457
1896,2.0,3,3.77,17.6,16.83,69.563
1906,2.0,3,3.74,17.66,16.92,70.15
1916,2.0,3,3.67,17.63,16.95,69.913
1926,2.0,3,3.72,17.65,16.92,69.91
1936,2.0,3,3.7,17.69,16.98,70.153
1946,2.0,3,3.78,17.73,16.94,70.24
1956,2.0,3,4.21,18.11,16.89,72.047
1966,2.0,3,4.05,18.0,16.94,71.521
1976,2.0,3,3.91,17.9,16.98,71.02600000000001
