,Id,Freq,Pin,Pout,Gain
1,58.23,2.0,-9,7.952000000000001,16.952
81,57.89,2.0,-9,8.044,17.044
161,58.09,2.0,-9,7.994,16.994
241,57.74,2.0,-9,7.836,16.836
282,58.45,2.0,-9,7.999,16.999000000000002
362,57.64,2.0,-9,7.978,16.977999999999998
442,58.22,2.0,-9,7.919,16.919
522,57.72,2.0,-9,7.909,16.909000000000002
602,57.98,2.0,-9,7.922000000000001,16.922
682,57.97,2.0,-9,7.865,16.865
762,57.71,2.0,-9,7.806,16.805999999999997
842,58.17,2.0,-9,7.8839999999999995,16.884
922,58.14,2.0,-9,7.855,16.855
1002,58.43,2.0,-9,7.8660000000000005,16.866
1082,57.92,2.0,-9,7.846,16.846
1162,57.84,2.0,-9,7.808,16.808
1242,58.25,2.0,-9,7.875,16.875
1322,58.13,2.0,-9,7.8260000000000005,16.826
1402,58.08,2.0,-9,7.772,16.772000000000002
1482,58.22,2.0,-9,7.827999999999999,16.828
1562,58.07,2.0,-9,7.779,16.779
1642,57.85,2.0,-9,7.831,16.831
1722,58.14,2.0,-9,7.831,16.831
1802,57.46,2.0,-9,7.841,16.840999999999998
1882,58.12,2.0,-9,7.806,16.805999999999997
1962,57.97,2.0,-9,7.907,16.907
2042,58.5,2.0,-9,7.939,16.939
2122,58.44,2.0,-9,7.977,16.977
2202,58.12,2.0,-9,7.936,16.936
2282,57.92,2.0,-9,7.968,16.968
2362,57.57,2.0,-9,7.931,16.930999999999997
2442,58.27,2.0,-9,7.919,16.919
2522,58.4,2.0,-9,7.928999999999999,16.929000000000002
2602,58.52,2.0,-9,7.982,16.982
2682,57.9,2.0,-9,7.88,16.88
2762,58.1,2.0,-9,7.9670000000000005,16.967
2842,57.78,2.0,-9,7.981,16.980999999999998
2922,58.08,2.0,-9,8.033999999999999,17.034000000000002
3002,58.35,2.0,-9,8.026,17.026
3082,58.47,2.0,-9,7.99,16.99
3162,57.75,2.0,-9,7.925,16.925
3242,57.68,2.0,-9,7.9,16.9
3322,57.83,2.0,-9,7.92,16.92
3402,57.99,2.0,-9,7.9510000000000005,16.951
3482,57.57,2.0,-9,7.875,16.875
3562,58.17,2.0,-9,7.934,16.934
3642,58.08,2.0,-9,7.867999999999999,16.868
3722,57.9,2.0,-9,7.882000000000001,16.882
3802,57.95,2.0,-9,7.879,16.879
3882,58.04,2.0,-9,7.903,16.903
3962,58.07,2.0,-9,7.862,16.862000000000002
4042,57.72,2.0,-9,7.845,16.845
4122,58.17,2.0,-9,7.843,16.843
4202,57.97,2.0,-9,7.872000000000001,16.872
4282,57.94,2.0,-9,7.831,16.831
4362,57.85,2.0,-9,7.862,16.862000000000002
4442,57.52,2.0,-9,7.831,16.831
4522,58.0,2.0,-9,7.8839999999999995,16.884
4602,57.75,2.0,-9,7.897,16.897000000000002
4682,57.96,2.0,-9,7.892,16.892
4762,57.77,2.0,-9,7.9239999999999995,16.924
4842,57.9,2.0,-9,7.95,16.95
4922,57.59,2.0,-9,7.946000000000001,16.945999999999998
5002,57.9,2.0,-9,7.9879999999999995,16.988
5082,58.4,2.0,-9,7.985,16.985
5162,58.25,2.0,-9,7.865,16.865
5242,57.59,2.0,-9,7.882000000000001,16.882
5322,58.68,2.0,-9,7.96,16.96
5402,58.28,2.0,-9,7.939,16.939
5482,57.87,2.0,-9,7.915,16.915
5562,58.26,2.0,-9,7.96,16.96
5642,58.6,2.0,-9,7.937,16.937
5722,58.02,2.0,-9,8.045,17.045
5802,58.36,2.0,-9,8.031,17.031
5882,57.88,2.0,-9,8.01,17.01
5962,58.28,2.0,-9,8.0,17.0
6042,57.91,2.0,-9,8.02,17.02
6122,57.53,2.0,-9,7.962000000000001,16.962
6202,58.12,2.0,-9,8.023,17.023
6282,57.96,2.0,-9,8.006,17.006
6362,57.85,2.0,-9,7.985,16.985
6442,57.81,2.0,-9,7.945,16.945
6522,57.5,2.0,-9,7.9239999999999995,16.924
6602,57.86,2.0,-9,7.917000000000001,16.917
6682,57.64,2.0,-9,7.888,16.887999999999998
6762,58.05,2.0,-9,7.859,16.859
6842,57.45,2.0,-9,7.834,16.834
6922,57.76,2.0,-9,7.834,16.834
7002,58.17,2.0,-9,7.89,16.89
7082,57.82,2.0,-9,7.886,16.886
7162,57.96,2.0,-9,7.85,16.85
7242,58.05,2.0,-9,7.872000000000001,16.872
7322,57.93,2.0,-9,7.921,16.921
7402,57.97,2.0,-9,7.9,16.9
7482,58.53,2.0,-9,8.005,17.005
7562,58.31,2.0,-9,7.984,16.984
7642,57.62,2.0,-9,7.975,16.975
7722,58.54,2.0,-9,8.011000000000001,17.011
7802,58.27,2.0,-9,8.029,17.029
7882,57.75,2.0,-9,7.99,16.99
7962,57.69,2.0,-9,7.88,16.88
8042,57.71,2.0,-9,7.776,16.776
8122,57.78,2.0,-9,7.75,16.75
8202,58.22,2.0,-9,7.757999999999999,16.758
8282,57.76,2.0,-9,7.7410000000000005,16.741
8362,58.17,2.0,-9,7.7989999999999995,16.799
8442,58.87,2.0,-9,7.791,16.791
8522,58.77,2.0,-9,7.827999999999999,16.828
8602,58.05,2.0,-9,7.813,16.813
8682,58.8,2.0,-9,7.707000000000001,16.707
8762,58.24,2.0,-9,7.771,16.771
8842,58.27,2.0,-9,7.795,16.795
8922,58.22,2.0,-9,7.763,16.762999999999998
9002,58.86,2.0,-9,7.8660000000000005,16.866
9082,58.28,2.0,-9,7.853,16.852999999999998
9162,58.33,2.0,-9,7.8660000000000005,16.866
9242,57.99,2.0,-9,7.871,16.871
9322,58.3,2.0,-9,7.903,16.903
9402,57.75,2.0,-9,7.892,16.892
9482,57.74,2.0,-9,7.912999999999999,16.913
9562,58.51,2.0,-9,7.9079999999999995,16.908
9642,57.94,2.0,-9,7.897,16.897000000000002
9722,58.01,2.0,-9,7.865,16.865
9802,57.73,2.0,-9,7.836,16.836
9882,58.22,2.0,-9,7.726,16.726
9962,58.14,2.0,-9,7.763,16.762999999999998
10042,58.06,2.0,-9,7.73,16.73
10122,57.86,2.0,-9,7.791,16.791
10202,57.5,2.0,-9,7.787999999999999,16.788
10282,58.18,2.0,-9,7.821000000000001,16.820999999999998
10362,58.03,2.0,-9,7.824,16.824
10442,58.11,2.0,-9,7.87,16.87
10522,58.31,2.0,-9,7.846,16.846
10602,58.47,2.0,-9,7.877000000000001,16.877
10682,58.27,2.0,-9,7.982,16.982
10762,58.86,2.0,-9,7.945,16.945
10842,58.01,2.0,-9,7.992999999999999,16.993
10922,58.41,2.0,-9,7.917000000000001,16.917
11002,57.67,2.0,-9,7.928999999999999,16.929000000000002
11082,58.74,2.0,-9,7.962000000000001,16.962
11162,57.85,2.0,-9,7.9639999999999995,16.964000000000002
