,Id,Freq,Pin,Pout,Gain
0,58.76,0.5,-9,7.55,16.55
80,58.51,0.5,-9,7.654,16.654
160,58.64,0.5,-9,7.606,16.605999999999998
240,58.38,0.5,-9,7.28,16.28
281,59.05,0.5,-9,7.632000000000001,16.632
361,58.21,0.5,-9,7.585,16.585
441,58.78,0.5,-9,7.5889999999999995,16.589000000000002
521,58.34,0.5,-9,7.482,16.482
601,58.64,0.5,-9,7.456,16.456
681,58.63,0.5,-9,7.422999999999999,16.423
761,58.41,0.5,-9,7.316,16.316
841,58.86,0.5,-9,7.38,16.38
921,58.8,0.5,-9,7.357,16.357
1001,59.27,0.5,-9,7.372000000000001,16.372
1081,58.84,0.5,-9,7.355,16.355
1161,58.66,0.5,-9,7.314,16.314
1241,59.05,0.5,-9,7.382000000000001,16.382
1321,58.95,0.5,-9,7.361000000000001,16.361
1401,58.83,0.5,-9,7.319,16.319000000000003
1481,59.03,0.5,-9,7.371,16.371
1561,58.87,0.5,-9,7.352,16.352
1641,58.65,0.5,-9,7.382000000000001,16.382
1721,58.92,0.5,-9,7.36,16.36
1801,58.24,0.5,-9,7.371,16.371
1881,59.04,0.5,-9,7.394,16.394000000000002
1961,58.81,0.5,-9,7.468999999999999,16.469
2041,59.21,0.5,-9,7.476,16.476
2121,59.25,0.5,-9,7.519,16.519000000000002
2201,58.91,0.5,-9,7.48,16.48
2281,58.81,0.5,-9,7.513,16.512999999999998
2361,58.43,0.5,-9,7.492999999999999,16.493
2441,58.83,0.5,-9,7.46,16.46
2521,58.94,0.5,-9,7.502000000000001,16.502
2601,59.08,0.5,-9,7.577999999999999,16.578
2681,58.36,0.5,-9,7.455,16.455
2761,58.76,0.5,-9,7.61,16.61
2841,58.41,0.5,-9,7.577999999999999,16.578
2921,58.81,0.5,-9,7.64,16.64
3001,59.04,0.5,-9,7.626,16.625999999999998
3081,59.17,0.5,-9,7.624,16.624000000000002
3161,58.4,0.5,-9,7.558,16.558
3241,58.56,0.5,-9,7.456,16.456
3321,58.67,0.5,-9,7.438,16.438
3401,58.78,0.5,-9,7.452999999999999,16.453
3481,58.29,0.5,-9,7.399,16.399
3561,58.94,0.5,-9,7.43,16.43
3641,58.78,0.5,-9,7.391,16.391
3721,58.76,0.5,-9,7.405,16.405
