,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
0,6,1,-6.61,15.55,23.16
10,6,1,-6.62,15.53,23.16
20,6,1,-6.7,15.49,23.19
30,6,1,-6.7,15.49,23.2
40,6,1,-6.69,15.49,23.19
50,6,1,-6.67,15.5,23.18
60,6,1,-6.75,15.48,23.24
70,6,1,-6.73,15.48,23.21
80,6,1,-6.77,15.35,23.12
90,6,1,-6.96,15.24,23.2
100,6,1,-6.83,15.27,23.11
110,6,1,-7.08,15.11,23.2
120,6,1,-7.06,15.09,23.16
130,6,1,-6.81,15.24,23.05
140,6,1,-7.2,15.16,23.37
150,6,1,-7.07,15.12,23.2
160,6,1,-7.01,15.18,23.2
170,6,1,-7.19,15.08,23.27
180,6,1,-7.13,15.11,23.25
190,6,1,-7.0,15.2,23.21
200,6,1,-6.98,15.17,23.15
210,6,1,-6.86,15.19,23.06
220,6,1,-6.85,15.27,23.12
230,6,1,-6.8,15.21,23.01
240,6,1,-6.83,15.28,23.12
250,6,1,-7.26,15.1,23.36
260,6,1,-6.9,15.4,23.3
270,6,1,-6.95,15.4,23.35
280,6,1,-6.95,15.41,23.37
290,6,1,-7.2,15.31,23.52
300,6,1,-6.98,15.46,23.44
310,6,1,-7.03,15.56,23.59
320,6,1,-6.98,15.6,23.58
330,6,1,-6.9,15.67,23.58
340,6,1,-6.7,15.34,23.05
350,6,1,-6.69,15.43,23.12
360,6,1,-6.84,15.38,23.23
370,6,1,-6.79,15.43,23.22
380,6,1,-7.04,15.29,23.33
390,6,1,-6.9,15.29,23.2
400,6,1,-7.23,15.06,23.29
410,6,1,-7.07,15.19,23.27
420,6,1,-7.21,15.11,23.33
430,6,1,-7.45,14.98,23.44
440,6,1,-7.19,15.09,23.28
450,6,1,-7.33,15.0,23.34
460,6,1,-7.5,14.94,23.45
470,6,1,-7.5,14.91,23.41
480,6,1,-7.48,14.95,23.43
490,6,1,-7.52,14.93,23.45
500,6,1,-7.38,14.96,23.34
510,6,1,-7.17,15.07,23.24
520,6,1,-7.16,15.16,23.32
530,6,1,-7.08,15.18,23.26
540,6,1,-7.23,15.12,23.35
550,6,1,-7.06,15.2,23.26
560,6,1,-7.1,15.21,23.32
570,6,1,-7.13,15.2,23.33
580,6,1,-6.87,15.31,23.19
590,6,1,-7.08,15.3,23.39
600,6,1,-6.97,15.38,23.36
610,6,1,-7.06,15.34,23.41
620,6,1,-7.11,15.32,23.43
630,6,1,-6.94,15.45,23.4
640,6,1,-7.0,15.41,23.42
650,6,1,-6.82,15.48,23.31
660,6,1,-6.92,15.46,23.39
670,6,1,-6.88,15.58,23.47
680,6,1,-6.81,15.59,23.41
690,6,1,-6.76,15.58,23.35
700,6,1,-6.46,15.66,23.12
710,6,1,-6.3,15.69,23.0
720,6,1,-6.37,15.31,22.69
730,6,1,-6.32,15.36,22.69
740,6,1,-5.57,14.97,21.54
750,6,1,-6.85,15.25,23.1
760,6,1,-6.96,15.21,23.18
770,6,1,-7.44,14.94,23.39
780,6,1,-7.51,14.91,23.43
790,6,1,-7.48,14.95,23.44
800,6,1,-7.51,14.96,23.48
810,6,1,-7.25,14.99,23.24
820,6,1,-7.3,15.02,23.32
830,6,1,-7.59,14.89,23.49
840,6,1,-7.47,14.97,23.45
