,Test,Die,VDD (V),,,,Id1 (mA),Id2 ( mA),Freq (GHz),Pin (dBm),,Pin (dBm),,Pout (dBm),Gain (dB),,,,,,,,,,,
694255,POW1,AB10,4,#,#,#,40.87,91.48,6,-13,#,-13.02219,#,10.166,23.166,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.8,90.39,9,-13,#,-12.97462,#,9.035,22.035,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.75,90.28,12,-13,#,-13.02288,#,9.278,22.278,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.68,90.13,15,-13,#,-13.03762,#,9.631,22.631,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.63,89.54,18,-13,#,-13.0105,#,7.811,20.811,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.98,92.2,6,-12,#,-12.01019,#,11.132,23.132,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.82,90.87,9,-12,#,-11.97062,#,10.024,22.024,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.76,90.62,12,-12,#,-11.96488,#,10.307,22.307,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.64,90.42,15,-12,#,-12.02262,#,10.607,22.607,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.65,89.67,18,-12,#,-11.9915,#,8.804,20.804,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.08,93.06,6,-11,#,-11.01419,#,12.084,23.084,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.84,91.4,9,-11,#,-10.97662,#,10.985,21.985,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.75,91.02,12,-11,#,-10.97787,#,11.258,22.258,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.66,90.74,15,-11,#,-11.04162,#,11.552,22.552,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.65,89.86,18,-11,#,-10.9855,#,9.799,20.799,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.17,94.15,6,-10,#,-10.04819,#,12.983,22.983,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.88,92.06,9,-10,#,-10.03562,#,11.88,21.88,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.73,91.52,12,-10,#,-10.02887,#,12.154,22.154,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.69,91.18,15,-10,#,-10.05163,#,12.483,22.483,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.65,90.12,18,-10,#,-9.9885,#,10.775,20.775,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.29,95.44,6,-9,#,-9.043188,#,13.881,22.881,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.89,92.88,9,-9,#,-9.032625,#,12.829,21.829,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.76,92.12,12,-9,#,-9.025875,#,13.093,22.093,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.71,91.73,15,-9,#,-9.037625,#,13.431,22.431,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.69,90.43,18,-9,#,-8.9885,#,11.751,20.751,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.39,97.06,6,-8,#,-8.044188,#,14.697,22.697,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.98,93.89,9,-8,#,-8.045625,#,13.732,21.732,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.78,92.87,12,-8,#,-8.036875,#,13.991,21.991,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.69,92.36,15,-8,#,-8.038625,#,14.335,22.335,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.67,90.82,18,-8,#,-7.9955,#,12.707,20.707,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41.53,98.64,6,-7,#,-7.047188,#,15.36,22.36,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,41,95.05,9,-7,#,-7.048625,#,14.598,21.598,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.75,93.76,12,-7,#,-7.049875,#,14.847,21.847,#,#,#,#,#,#,#,#,#,#,#
694255,POW1,AB10,4,#,#,#,40.7,93.05,15,-7,#,-7.055625,#,15.19,22.19,#,#,#,#,#,#,#,#,#,#,#
