,Id1,Id2,Freq,Pin,Pout,Gain
1,40.8,90.39,9,-13,9.035,22.035
81,40.6,88.5,9,-13,9.047,22.046999999999997
161,41.4,88.42,9,-13,9.157,22.156999999999996
241,39.93,87.12,9,-13,9.107999999999999,22.108
321,40.87,87.62,9,-13,9.16,22.16
401,39.79,87.41,9,-13,9.079,22.079
481,40.53,86.85,9,-13,9.22,22.22
561,39.71,87.38,9,-13,9.116,22.116
641,40.2,86.86,9,-13,9.056000000000001,22.055999999999997
721,41.26,88.33,9,-13,9.182,22.182
801,40.4,88.2,9,-13,9.056000000000001,22.055999999999997
881,41.03,88.37,9,-13,9.189,22.189
961,40.4,88.75,9,-13,9.111,22.111
1041,40.54,87.89,9,-13,9.042,22.041999999999998
1121,40.54,88.61,9,-13,9.347000000000001,22.346999999999998
1201,39.4,85.53,9,-13,9.16,22.16
1281,40.15,86.18,9,-13,9.183,22.183000000000003
1361,39.58,86.96,9,-13,9.2,22.2
1441,39.79,86.26,9,-13,9.22,22.22
1521,39.2,85.78,9,-13,9.182,22.182
1601,39.61,85.15,9,-13,9.125,22.125
1681,39.66,86.17,9,-13,8.997,21.997
1761,40.09,87.09,9,-13,9.079,22.079
1841,39.99,86.43,9,-13,8.908,21.908
1921,39.73,86.79,9,-13,9.02,22.02
2001,40.33,86.61,9,-13,9.326,22.326
2081,39.49,85.56,9,-13,9.246,22.246
2161,39.7,85.38,9,-13,9.329,22.329
2241,37.37,84.18,9,-13,9.248,22.248
2321,38.24,81.85,9,-13,9.498,22.498
2401,39.54,83.96,9,-13,9.447000000000001,22.447
2481,38.58,84.28,9,-13,9.501,22.500999999999998
2561,39.32,84.24,9,-13,9.57,22.57
2641,38.03,83.78,9,-13,9.52,22.52
2721,41.98,93.24,9,-13,8.923,21.923000000000002
2801,40.7,88.64,9,-13,9.04,22.04
2881,41.45,88.78,9,-13,9.19,22.19
2961,40.14,88.05,9,-13,9.132,22.131999999999998
3041,40.49,86.25,9,-13,9.317,22.316999999999997
3121,39.42,86.63,9,-13,9.125,22.125
3201,40.02,86.02,9,-13,9.251,22.250999999999998
3281,38.87,86.11,9,-13,9.174,22.174
3361,39.12,85.4,9,-13,9.253,22.253
3441,40.04,85.67,9,-13,9.411,22.410999999999998
3521,39.35,86.08,9,-13,9.197000000000001,22.197
3601,40.58,87.15,9,-13,9.316,22.316
3681,40.15,87.55,9,-13,9.408,22.408
3761,40.72,87.55,9,-13,9.391,22.391
3841,40.04,87.67,9,-13,9.394,22.394000000000002
3921,40.04,86.75,9,-13,9.407,22.406999999999996
4001,40.38,86.73,9,-13,9.331,22.331
4081,39.31,86.26,9,-13,9.179,22.179000000000002
4161,39.96,85.88,9,-13,9.317,22.316999999999997
4241,39.0,85.77,9,-13,9.195,22.195
4321,39.63,85.35,9,-13,9.33,22.33
4401,38.68,85.21,9,-13,9.208,22.208000000000002
4481,38.83,84.57,9,-13,9.257,22.256999999999998
4561,39.59,84.76,9,-13,9.312999999999999,22.313000000000002
4641,39.01,84.89,9,-13,9.135,22.135
4721,38.59,83.36,9,-13,9.357999999999999,22.358
4801,37.58,81.87,9,-13,9.283999999999999,22.284000000000002
4881,38.61,82.22,9,-13,9.401,22.401
4961,37.55,82.53,9,-13,9.379,22.379
5041,38.08,82.37,9,-13,9.353,22.353
5121,39.13,83.18,9,-13,9.408999999999999,22.409000000000002
5201,37.85,83.43,9,-13,9.23,22.23
5281,38.77,83.32,9,-13,9.336,22.336
5361,37.48,82.7,9,-13,9.399,22.399
5441,38.44,82.86,9,-13,9.368,22.368000000000002
5521,37.2,82.1,9,-13,9.259,22.259
5601,37.2,82.19,9,-13,9.049,22.049
5681,38.29,82.15,9,-13,8.984,21.984
5761,43.63,96.09,9,-13,8.636000000000001,21.636
5841,43.0,94.31,9,-13,8.646,21.646
5921,46.77,93.75,9,-13,8.667,21.666999999999998
6001,41.34,91.57,9,-13,9.064,22.064
6081,41.03,90.79,9,-13,9.1,22.1
6161,40.93,88.24,9,-13,9.352,22.351999999999997
6241,40.31,88.29,9,-13,9.37,22.37
