,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain,Id
1,2.0,1,0.11,16.06,16.95,64.855
11,2.0,1,-0.25,15.79,17.04,63.663000000000004
21,2.0,1,-0.09,15.89,16.99,64.271
31,2.0,1,0.0,15.99,16.99,64.685
41,2.0,1,-0.16,15.81,16.97,63.773
51,2.0,1,0.0,15.91,16.91,64.346
61,2.0,1,-0.23,15.67,16.9,63.534
71,2.0,1,-0.35,15.56,16.92,63.483000000000004
81,2.0,1,-0.39,15.47,16.86,63.23
91,2.0,1,-0.25,15.55,16.8,63.398
101,2.0,1,-0.27,15.6,16.88,63.74100000000001
111,2.0,1,-0.18,15.67,16.85,63.778999999999996
121,2.0,1,-0.52,15.34,16.86,63.236999999999995
131,2.0,1,-1.13,14.71,16.84,61.582
141,2.0,1,-0.34,15.45,16.8,63.101000000000006
151,2.0,1,-0.45,15.41,16.87,63.281000000000006
161,2.0,1,-0.39,15.42,16.82,63.29600000000001
171,2.0,1,-0.3,15.46,16.77,63.385
181,2.0,1,-0.22,15.6,16.82,63.85
191,2.0,1,-0.2,15.57,16.77,63.736000000000004
201,2.0,1,-0.2,15.62,16.83,63.574
211,2.0,1,-0.17,15.65,16.83,63.867
221,2.0,1,-0.3,15.53,16.84,63.001999999999995
231,2.0,1,-0.31,15.48,16.8,63.305
241,2.0,1,-0.08,15.82,16.9,64.192
251,2.0,1,-0.07,15.86,16.93,64.714
261,2.0,1,-0.07,15.89,16.97,64.737
271,2.0,1,-0.07,15.86,16.93,64.374
281,2.0,1,-0.05,15.91,16.96,64.359
291,2.0,1,-0.03,15.89,16.93,64.096
301,2.0,1,0.15,16.07,16.91,65.164
311,2.0,1,0.2,16.12,16.92,65.204
321,2.0,1,0.12,16.1,16.98,65.25
331,2.0,1,0.08,15.96,16.88,64.45100000000001
341,2.0,1,-0.31,15.65,16.96,63.678999999999995
351,2.0,1,-0.31,15.67,16.98,63.489
361,2.0,1,-0.43,15.59,17.03,63.483000000000004
371,2.0,1,-0.6,15.42,17.02,63.39
381,2.0,1,-0.4,15.58,16.99,63.733000000000004
391,2.0,1,-0.41,15.51,16.92,63.108999999999995
401,2.0,1,-0.57,15.32,16.9,62.575
411,2.0,1,-0.67,15.24,16.92,62.513999999999996
421,2.0,1,-0.67,15.27,16.95,62.667
431,2.0,1,-0.44,15.42,16.87,62.736999999999995
441,2.0,1,-0.49,15.43,16.93,63.214
451,2.0,1,-0.42,15.43,16.86,63.166000000000004
461,2.0,1,-0.52,15.35,16.88,62.803000000000004
471,2.0,1,-0.5,15.36,16.87,62.92
