,Id,Freq,Pin,Pout,Gain
4,58.84,12.0,-9,9.724,18.724
84,58.58,12.0,-9,9.591000000000001,18.590999999999998
164,58.72,12.0,-9,9.601,18.601
285,59.16,12.0,-9,9.757,18.757
365,58.37,12.0,-9,9.717,18.717
445,58.98,12.0,-9,9.363999999999999,18.364
525,58.53,12.0,-9,9.748,18.748
605,58.77,12.0,-9,9.732999999999999,18.733
685,58.77,12.0,-9,9.666,18.666
765,58.52,12.0,-9,9.582,18.582
845,59.01,12.0,-9,9.721,18.721
925,58.99,12.0,-9,9.73,18.73
1005,59.38,12.0,-9,9.745,18.745
1085,58.7,12.0,-9,9.66,18.66
1165,58.73,12.0,-9,9.655,18.655
1245,59.22,12.0,-9,9.77,18.77
1325,58.93,12.0,-9,9.693999999999999,18.694000000000003
1405,58.92,12.0,-9,9.642000000000001,18.642
1485,59.17,12.0,-9,9.72,18.72
1565,58.99,12.0,-9,9.57,18.57
1645,58.77,12.0,-9,9.742,18.742
1725,59.08,12.0,-9,9.726,18.726
1805,58.38,12.0,-9,9.76,18.76
1885,59.09,12.0,-9,9.238,18.238
1965,58.95,12.0,-9,9.877,18.877
2045,59.49,12.0,-9,9.869,18.869
2125,59.45,12.0,-9,9.987,18.987000000000002
2205,59.08,12.0,-9,9.896,18.896
2285,58.94,12.0,-9,9.972000000000001,18.972
2365,58.62,12.0,-9,9.869,18.869
2445,58.84,12.0,-9,9.673,18.673
2525,58.9,12.0,-9,9.76,18.76
2605,59.06,12.0,-9,9.501,18.500999999999998
2685,58.36,12.0,-9,9.412,18.412
2765,58.78,12.0,-9,9.69,18.69
2845,58.45,12.0,-9,9.773,18.773
2925,58.88,12.0,-9,9.773,18.773
3005,59.09,12.0,-9,9.565,18.565
3085,59.24,12.0,-9,9.488,18.488
3165,58.52,12.0,-9,9.467,18.467
3245,58.51,12.0,-9,9.677999999999999,18.678
3325,58.68,12.0,-9,9.68,18.68
3405,58.8,12.0,-9,9.771,18.771
3485,58.4,12.0,-9,9.705,18.705
3565,59.02,12.0,-9,9.764,18.764
3645,58.87,12.0,-9,9.69,18.69
3725,58.77,12.0,-9,9.745,18.745
3805,58.84,12.0,-9,9.709,18.709
3885,58.96,12.0,-9,9.776,18.776
3965,58.95,12.0,-9,9.731,18.730999999999998
4045,58.61,12.0,-9,9.696,18.695999999999998
4125,59.1,12.0,-9,9.707,18.707
4205,58.89,12.0,-9,9.755,18.755
4285,58.83,12.0,-9,9.683,18.683
4365,58.79,12.0,-9,9.745,18.745
4445,58.51,12.0,-9,9.754,18.754
4525,59.01,12.0,-9,9.845,18.845
4605,58.72,12.0,-9,9.783999999999999,18.784000000000002
4685,58.95,12.0,-9,9.727,18.727
4765,58.77,12.0,-9,9.837,18.837
4845,58.94,12.0,-9,9.911,18.910999999999998
4925,58.64,12.0,-9,9.886000000000001,18.886
5005,58.94,12.0,-9,10.016,19.016
5085,59.46,12.0,-9,9.896,18.896
5165,58.81,12.0,-9,9.482000000000001,18.482
5245,58.17,12.0,-9,9.575,18.575
5325,59.21,12.0,-9,9.794,18.794
5405,58.88,12.0,-9,9.777000000000001,18.777
5485,58.48,12.0,-9,9.449,18.449
5565,58.93,12.0,-9,9.707,18.707
5645,59.31,12.0,-9,9.743,18.743
5725,58.95,12.0,-9,9.888,18.887999999999998
5805,59.22,12.0,-9,9.822000000000001,18.822
5885,58.83,12.0,-9,9.892999999999999,18.893
5965,59.16,12.0,-9,9.777000000000001,18.777
6045,58.84,12.0,-9,9.902000000000001,18.902
6125,58.46,12.0,-9,9.727,18.727
6205,59.12,12.0,-9,9.908,18.908
6285,58.9,12.0,-9,9.722000000000001,18.722
6365,58.82,12.0,-9,9.862,18.862000000000002
6445,58.74,12.0,-9,9.77,18.77
6525,58.47,12.0,-9,9.795,18.795
6605,58.8,12.0,-9,9.775,18.775
6685,58.65,12.0,-9,9.812000000000001,18.812
6765,58.97,12.0,-9,9.763,18.762999999999998
6845,58.44,12.0,-9,9.777000000000001,18.777
6925,58.77,12.0,-9,9.633,18.633
7005,59.17,12.0,-9,9.562999999999999,18.563
7085,58.7,12.0,-9,9.77,18.77
7165,58.95,12.0,-9,9.56,18.56
7245,59.04,12.0,-9,9.84,18.84
7325,58.97,12.0,-9,9.955,18.955
7405,58.88,12.0,-9,9.927,18.927
7485,59.09,12.0,-9,9.846,18.846
7565,58.9,12.0,-9,9.834,18.834
7645,58.82,12.0,-9,9.892999999999999,18.893
7725,59.2,12.0,-9,9.845,18.845
7805,58.89,12.0,-9,9.918,18.918
7885,58.38,12.0,-9,9.78,18.78
7965,58.45,12.0,-9,9.8,18.8
8045,58.43,12.0,-9,9.681000000000001,18.680999999999997
8125,58.5,12.0,-9,9.652999999999999,18.653
8205,58.99,12.0,-9,9.568,18.567999999999998
8285,58.53,12.0,-9,9.742,18.742
8365,58.71,12.0,-9,9.601,18.601
8445,59.42,12.0,-9,9.599,18.599
8525,59.4,12.0,-9,9.663,18.663
8605,58.63,12.0,-9,9.601,18.601
8685,59.3,12.0,-9,9.052,18.052
8765,58.79,12.0,-9,9.353,18.352999999999998
8845,58.81,12.0,-9,9.272,18.272000000000002
8925,58.76,12.0,-9,9.332,18.332
9005,59.47,12.0,-9,9.336,18.336
9085,58.93,12.0,-9,9.601,18.601
9165,58.99,12.0,-9,9.346,18.346
9245,58.68,12.0,-9,9.663,18.663
9325,59.01,12.0,-9,9.693999999999999,18.694000000000003
9405,58.43,12.0,-9,9.706,18.706
9485,58.49,12.0,-9,9.717,18.717
9565,59.25,12.0,-9,9.708,18.708
9645,58.67,12.0,-9,9.722000000000001,18.722
9725,58.73,12.0,-9,9.705,18.705
9805,58.48,12.0,-9,9.701,18.701
9885,58.92,12.0,-9,9.756,18.756
9965,58.84,12.0,-9,9.692,18.692
10045,58.76,12.0,-9,9.559,18.559
10125,58.69,12.0,-9,9.702,18.702
10205,58.28,12.0,-9,9.701,18.701
10285,58.95,12.0,-9,9.422,18.422
10365,58.79,12.0,-9,9.751,18.750999999999998
10445,58.93,12.0,-9,9.817,18.817
10525,59.14,12.0,-9,9.687999999999999,18.688
10605,58.91,12.0,-9,9.292,18.292
10685,58.9,12.0,-9,9.551,18.551
10765,59.51,12.0,-9,9.372,18.372
10845,58.67,12.0,-9,9.402999999999999,18.403
10925,59.03,12.0,-9,9.646,18.646
11005,58.34,12.0,-9,9.377,18.377
11085,59.42,12.0,-9,9.604,18.604
11165,58.55,12.0,-9,9.732999999999999,18.733
11245,58.83,12.0,-9,9.697000000000001,18.697
11325,59.31,12.0,-9,9.713,18.713
11405,58.67,12.0,-9,9.616,18.616
11485,58.83,12.0,-9,9.642000000000001,18.642
11565,59.0,12.0,-9,9.684,18.684
11645,59.12,12.0,-9,9.716000000000001,18.715999999999998
11725,58.82,12.0,-9,9.717,18.717
11805,58.52,12.0,-9,9.68,18.68
11885,59.32,12.0,-9,9.706,18.706
11965,58.68,12.0,-9,9.668,18.668
12045,58.99,12.0,-9,9.642000000000001,18.642
12125,59.37,12.0,-9,9.676,18.676
12205,58.2,12.0,-9,9.664,18.664
12285,59.15,12.0,-9,9.702,18.702
12365,59.08,12.0,-9,9.744,18.744
12445,59.31,12.0,-9,9.758,18.758
12525,59.36,12.0,-9,9.736,18.736
12605,58.78,12.0,-9,9.648,18.648
12685,58.76,12.0,-9,9.868,18.868
12765,59.27,12.0,-9,9.951,18.951
12845,59.11,12.0,-9,9.872,18.872
12925,59.59,12.0,-9,9.899,18.899
13005,58.81,12.0,-9,9.918,18.918
13085,58.71,12.0,-9,9.572000000000001,18.572
13165,58.43,12.0,-9,9.644,18.644000000000002
13245,59.32,12.0,-9,9.72,18.72
13325,59.35,12.0,-9,9.627,18.627
13405,58.39,12.0,-9,9.468,18.468
13485,58.98,12.0,-9,9.692,18.692
13565,58.55,12.0,-9,9.413,18.413
13645,59.01,12.0,-9,9.693999999999999,18.694000000000003
13725,59.17,12.0,-9,9.665,18.665
13805,59.11,12.0,-9,9.726,18.726
13885,58.55,12.0,-9,9.711,18.711
13965,59.2,12.0,-9,9.634,18.634
14045,58.96,12.0,-9,9.881,18.881
14125,58.39,12.0,-9,9.783,18.783
14205,59.21,12.0,-9,9.701,18.701
14285,59.08,12.0,-9,9.75,18.75
14365,58.6,12.0,-9,9.753,18.753
14445,58.85,12.0,-9,9.695,18.695
14525,58.52,12.0,-9,9.761000000000001,18.761
14605,58.81,12.0,-9,9.763,18.762999999999998
14685,58.77,12.0,-9,9.68,18.68
14765,58.93,12.0,-9,9.727,18.727
14845,58.81,12.0,-9,9.106,18.105999999999998
14925,59.25,12.0,-9,9.649,18.649
15005,59.37,12.0,-9,9.785,18.785
15085,58.73,12.0,-9,9.674,18.674
15165,58.48,12.0,-9,9.562000000000001,18.562
15245,59.4,12.0,-9,9.869,18.869
15325,59.61,12.0,-9,9.991,18.991
15405,59.08,12.0,-9,9.916,18.916
15485,59.32,12.0,-9,10.029,19.029
15565,58.69,12.0,-9,9.907,18.907
15645,58.73,12.0,-9,9.708,18.708
15725,58.77,12.0,-9,9.7,18.7
15805,58.92,12.0,-9,9.745,18.745
