,Test,Die,VDD (V),,Freq (GHz),Comp. level (dB),Pin_comp(dBm),Pout_comp (dBm),Linear Gain (dB),,,,,,,,,,,,,,,,,
694255,PDB2,AB10,4,#,6,1,-6.61,15.55,23.16,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,9,1,-5.11,15.92,22.03,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,12,1,-4.99,16.28,22.27,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,15,1,-4.98,16.64,22.63,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,18,1,-2.54,17.26,20.81,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,6,3,-3.94,16.21,23.16,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,9,3,-1.95,17.07,22.03,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,12,3,-1.77,17.49,22.27,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,15,3,-1.62,18,22.63,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB10,4,#,18,3,1.01,18.82,20.81,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,6,1,-6.62,15.53,23.16,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,9,1,-5.16,15.87,22.04,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,12,1,-5.1,16.17,22.27,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,15,1,-4.97,16.58,22.56,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,18,1,-2.58,17.16,20.74,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,6,3,-3.93,16.22,23.16,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,9,3,-2.02,17.02,22.04,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,12,3,-1.84,17.42,22.27,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,15,3,-1.63,17.93,22.56,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB12,4,#,18,3,1,18.75,20.74,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,6,1,-6.7,15.49,23.19,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,9,1,-5.31,15.84,22.15,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,12,1,-5.22,16.18,22.41,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,15,1,-5.13,16.54,22.68,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,18,1,-2.66,17.17,20.83,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,6,3,-4.01,16.17,23.19,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,9,3,-2.14,17.01,22.15,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,12,3,-1.98,17.43,22.41,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,15,3,-1.77,17.9,22.68,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB13,4,#,18,3,0.88,18.72,20.83,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,6,1,-6.7,15.49,23.2,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,9,1,-5.31,15.79,22.1,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,12,1,-5.26,16.05,22.32,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,15,1,-5.06,16.47,22.54,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,18,1,-2.58,17.08,20.67,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,6,3,-3.98,16.21,23.2,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,9,3,-2.15,16.95,22.1,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,12,3,-1.97,17.34,22.32,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,15,3,-1.69,17.85,22.54,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB14,4,#,18,3,1.01,18.68,20.67,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB17,4,#,6,1,-6.69,15.49,23.19,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
694255,PDB2,AB17,4,#,9,1,-5.33,15.82,22.16,#,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
