,Freq,Compression Level,Pin_comp,Pout_comp,Linear Gain
5,6,3,-3.94,16.21,23.16
15,6,3,-3.93,16.22,23.16
25,6,3,-4.01,16.17,23.19
35,6,3,-3.98,16.21,23.2
45,6,3,-3.96,16.22,23.19
55,6,3,-3.91,16.26,23.18
65,6,3,-3.96,16.27,23.24
75,6,3,-3.98,16.22,23.21
85,6,3,-4.05,16.06,23.12
95,6,3,-4.26,15.94,23.2
105,6,3,-4.12,15.98,23.11
115,6,3,-4.4,15.8,23.2
125,6,3,-4.35,15.8,23.16
135,6,3,-4.09,15.96,23.05
145,6,3,-4.42,15.95,23.37
155,6,3,-4.31,15.88,23.2
165,6,3,-4.32,15.88,23.2
175,6,3,-4.48,15.78,23.27
185,6,3,-4.33,15.91,23.25
195,6,3,-4.26,15.95,23.21
205,6,3,-4.22,15.92,23.15
215,6,3,-4.17,15.88,23.06
225,6,3,-4.15,15.97,23.12
235,6,3,-4.06,15.95,23.01
245,6,3,-4.1,16.01,23.12
255,6,3,-4.45,15.9,23.36
265,6,3,-4.09,16.21,23.3
275,6,3,-4.15,16.2,23.35
285,6,3,-4.12,16.25,23.37
295,6,3,-4.25,16.26,23.52
305,6,3,-4.13,16.31,23.44
315,6,3,-4.15,16.44,23.59
325,6,3,-4.1,16.48,23.58
335,6,3,-3.96,16.61,23.58
345,6,3,-4.15,15.89,23.05
355,6,3,-4.02,16.1,23.12
365,6,3,-4.2,16.02,23.23
375,6,3,-4.1,16.12,23.22
385,6,3,-4.35,15.98,23.33
395,6,3,-4.18,16.01,23.2
405,6,3,-4.52,15.77,23.29
415,6,3,-4.37,15.9,23.27
425,6,3,-4.46,15.86,23.33
435,6,3,-4.69,15.74,23.44
445,6,3,-4.46,15.81,23.28
455,6,3,-4.61,15.73,23.34
465,6,3,-4.74,15.71,23.45
475,6,3,-4.72,15.68,23.41
485,6,3,-4.7,15.73,23.43
495,6,3,-4.73,15.72,23.45
505,6,3,-4.59,15.74,23.34
515,6,3,-4.41,15.83,23.24
525,6,3,-4.39,15.93,23.32
535,6,3,-4.31,15.95,23.26
545,6,3,-4.42,15.93,23.35
555,6,3,-4.25,16.01,23.26
565,6,3,-4.33,15.98,23.32
575,6,3,-4.35,15.98,23.33
585,6,3,-4.07,16.12,23.19
595,6,3,-4.25,16.13,23.39
605,6,3,-4.13,16.22,23.36
615,6,3,-4.19,16.21,23.41
625,6,3,-4.19,16.24,23.43
635,6,3,-4.08,16.31,23.4
645,6,3,-4.17,16.24,23.42
655,6,3,-3.96,16.34,23.31
665,6,3,-4.09,16.29,23.39
675,6,3,-3.96,16.5,23.47
685,6,3,-3.93,16.47,23.41
695,6,3,-3.84,16.5,23.35
705,6,3,-3.56,16.56,23.12
715,6,3,-3.45,16.54,23.0
725,6,3,-3.92,15.76,22.69
735,6,3,-3.82,15.87,22.69
745,6,3,-3.07,15.46,21.54
755,6,3,-4.26,15.84,23.1
765,6,3,-4.41,15.76,23.18
775,6,3,-4.78,15.61,23.39
785,6,3,-4.77,15.66,23.43
795,6,3,-4.72,15.72,23.44
