,Id1,Id2,Freq,Pin,Pout,Gain
3,40.68,90.13,15,-13,9.631,22.631
83,40.45,88.23,15,-13,9.561,22.561
163,41.25,88.24,15,-13,9.682,22.682
243,39.78,86.87,15,-13,9.544,22.544
323,40.73,87.33,15,-13,9.662,22.662
403,39.66,87.15,15,-13,9.544,22.544
483,40.36,86.59,15,-13,9.661,22.660999999999998
563,39.55,87.17,15,-13,9.552,22.552
643,40.06,86.57,15,-13,9.478,22.478
723,41.12,88.09,15,-13,9.685,22.685
803,40.25,87.96,15,-13,9.551,22.551
883,40.9,88.18,15,-13,9.658999999999999,22.659000000000002
963,40.25,88.51,15,-13,9.568999999999999,22.569000000000003
1043,40.39,87.67,15,-13,9.459,22.459
1123,40.37,88.46,15,-13,9.745,22.745
1203,39.22,85.38,15,-13,9.497,22.497
1283,39.97,85.97,15,-13,9.5,22.5
1363,39.42,86.78,15,-13,9.59,22.59
1443,39.63,86.1,15,-13,9.612,22.612
1523,39.08,85.59,15,-13,9.519,22.519000000000002
1603,39.43,85.02,15,-13,9.404,22.404
1683,39.46,85.95,15,-13,9.407,22.406999999999996
1763,39.97,86.9,15,-13,9.544,22.544
1843,39.81,86.24,15,-13,9.443999999999999,22.444000000000003
1923,39.56,86.6,15,-13,9.484,22.484
2003,40.17,86.42,15,-13,9.7,22.7
2083,39.29,85.36,15,-13,9.584,22.584
2163,39.57,85.24,15,-13,9.675,22.675
2243,37.27,84.01,15,-13,9.48,22.48
2323,38.14,81.71,15,-13,9.698,22.698
2403,39.4,83.78,15,-13,9.724,22.724
2483,38.42,84.09,15,-13,9.751,22.750999999999998
2563,39.14,83.99,15,-13,9.846,22.846
2643,37.86,83.51,15,-13,9.735,22.735
2723,41.83,93.01,15,-13,9.672,22.671999999999997
2803,40.53,88.38,15,-13,9.606,22.605999999999998
2883,41.3,88.56,15,-13,9.743,22.743000000000002
2963,39.98,87.77,15,-13,9.646,22.646
3043,40.35,86.03,15,-13,9.742,22.741999999999997
3123,39.26,86.4,15,-13,9.571,22.570999999999998
3203,39.88,85.77,15,-13,9.681000000000001,22.680999999999997
3283,38.73,85.88,15,-13,9.578,22.578000000000003
3363,39.01,85.24,15,-13,9.661,22.660999999999998
3443,39.94,85.47,15,-13,9.759,22.759
3523,39.21,85.89,15,-13,9.628,22.628
3603,40.41,86.92,15,-13,9.698,22.698
3683,40.02,87.4,15,-13,9.818,22.818
3763,40.59,87.4,15,-13,9.777999999999999,22.778000000000002
3843,39.89,87.51,15,-13,9.766,22.766
3923,39.86,86.6,15,-13,9.786,22.785999999999998
4003,40.23,86.56,15,-13,9.7,22.7
4083,39.18,86.08,15,-13,9.546,22.546
4163,39.81,85.67,15,-13,9.676,22.676
4243,38.86,85.57,15,-13,9.546,22.546
4323,39.48,85.2,15,-13,9.668,22.668000000000003
4403,38.52,85.04,15,-13,9.561,22.561
4483,38.72,84.41,15,-13,9.585,22.585
4563,39.42,84.62,15,-13,9.616,22.616
4643,38.87,84.72,15,-13,9.507,22.506999999999998
4723,38.44,83.19,15,-13,9.712,22.712
4803,37.44,81.73,15,-13,9.522,22.522
4883,38.45,82.06,15,-13,9.642999999999999,22.643
4963,37.43,82.41,15,-13,9.625,22.625
5043,37.93,82.17,15,-13,9.593,22.593000000000004
5123,39.0,83.0,15,-13,9.685,22.685
5203,37.72,83.22,15,-13,9.535,22.535
5283,38.62,83.08,15,-13,9.685,22.685
5363,37.32,82.48,15,-13,9.655,22.655
5443,38.3,82.59,15,-13,9.689,22.689
5523,37.05,81.83,15,-13,9.595,22.595
5603,37.06,81.86,15,-13,9.448,22.448
5683,38.13,81.81,15,-13,9.446,22.445999999999998
5763,43.48,95.82,15,-13,9.485,22.485
5843,42.8,94.09,15,-13,9.5,22.5
5923,46.67,93.25,15,-13,9.54,22.54
6003,41.18,91.29,15,-13,9.762,22.761999999999997
6083,40.84,90.5,15,-13,9.823,22.823
