Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (22155847),Giannis Antetokounmpo,22155847,SF/PF/F/UTIL,11000,CHI@MIL 04/17/2022 06:30PM ET,MIL,58.05
PG/SG,Devin Booker (22155918),Devin Booker,22155918,PG/SG/G/UTIL,9000,NOP@PHX 04/17/2022 09:00PM ET,PHX,43.63
PF,DeMar DeRozan (22155779),DeMar DeRozan,22155779,PF/F/UTIL,8500,CHI@MIL 04/17/2022 06:30PM ET,CHI,43.38
PG/SG,CJ McCollum (22155790),CJ McCollum,22155790,PG/SG/G/UTIL,8300,NOP@PHX 04/17/2022 09:00PM ET,NOP,38.65
SF,Khris Middleton (22155787),Khris Middleton,22155787,SF/F/UTIL,8100,CHI@MIL 04/17/2022 06:30PM ET,MIL,37.68
PG,Jrue Holiday (22155776),Jrue Holiday,22155776,PG/G/UTIL,7900,CHI@MIL 04/17/2022 06:30PM ET,MIL,38.11
SG/SF,Brandon Ingram (22155938),Brandon Ingram,22155938,SG/SF/F/G/UTIL,7800,NOP@PHX 04/17/2022 09:00PM ET,NOP,40.07
C,Nikola Vucevic (22155782),Nikola Vucevic,22155782,C/UTIL,7700,CHI@MIL 04/17/2022 06:30PM ET,CHI,40.81
PG,Chris Paul (22155745),Chris Paul,22155745,PG/G/UTIL,7600,NOP@PHX 04/17/2022 09:00PM ET,PHX,40.90
SG/SF,Zach LaVine (22155862),Zach LaVine,22155862,SG/SF/F/G/UTIL,7500,CHI@MIL 04/17/2022 06:30PM ET,CHI,38.95
C,Jonas Valanciunas (22155813),Jonas Valanciunas,22155813,C/UTIL,7300,NOP@PHX 04/17/2022 09:00PM ET,NOP,38.65
C,Zion Williamson (22156028),Zion Williamson,22156028,C/UTIL,7200,NOP@PHX 04/17/2022 09:00PM ET,NOP,0
C,Deandre Ayton (22156000),Deandre Ayton,22156000,C/UTIL,7000,NOP@PHX 04/17/2022 09:00PM ET,PHX,34.95
PG,Lonzo Ball (22155968),Lonzo Ball,22155968,PG/G/UTIL,5900,CHI@MIL 04/17/2022 06:30PM ET,CHI,33.46
PF/C,Bobby Portis (22155873),Bobby Portis,22155873,PF/C/F/UTIL,5800,CHI@MIL 04/17/2022 06:30PM ET,MIL,31.50
SF,Mikal Bridges (22155922),Mikal Bridges,22155922,SF/F/UTIL,5200,NOP@PHX 04/17/2022 09:00PM ET,PHX,26.35
PG,Cameron Payne (22155880),Cameron Payne,22155880,PG/G/UTIL,5100,NOP@PHX 04/17/2022 09:00PM ET,PHX,23.62
C,JaVale McGee (22155767),JaVale McGee,22155767,C/UTIL,5000,NOP@PHX 04/17/2022 09:00PM ET,PHX,20.76
SF/PF,Cameron Johnson (22155907),Cameron Johnson,22155907,SF/PF/F/UTIL,5000,NOP@PHX 04/17/2022 09:00PM ET,PHX,22.99
C,Frank Kaminsky (22155829),Frank Kaminsky,22155829,C/UTIL,4800,NOP@PHX 04/17/2022 09:00PM ET,PHX,21.75
SF/PF,Patrick Williams (22156057),Patrick Williams,22156057,SF/PF/F/UTIL,4700,CHI@MIL 04/17/2022 06:30PM ET,CHI,17.57
C,Brook Lopez (22155765),Brook Lopez,22155765,C/UTIL,4600,CHI@MIL 04/17/2022 06:30PM ET,MIL,21.98
SF/PF,Herbert Jones (22156006),Herbert Jones,22156006,SF/PF/F/UTIL,4600,NOP@PHX 04/17/2022 09:00PM ET,NOP,22.16
PG,Ayo Dosunmu (22156034),Ayo Dosunmu,22156034,PG/G/UTIL,4500,CHI@MIL 04/17/2022 06:30PM ET,CHI,19.42
PF,Larry Nance Jr. (22155823),Larry Nance Jr.,22155823,PF/F/UTIL,4400,NOP@PHX 04/17/2022 09:00PM ET,NOP,19.34
SG/SF,Landry Shamet (22155953),Landry Shamet,22155953,SG/SF/F/G/UTIL,4400,NOP@PHX 04/17/2022 09:00PM ET,PHX,14.60
PG/SG,Coby White (22156043),Coby White,22156043,PG/SG/G/UTIL,4300,CHI@MIL 04/17/2022 06:30PM ET,CHI,22.59
C,Bismack Biyombo (22155815),Bismack Biyombo,22155815,C/UTIL,4300,NOP@PHX 04/17/2022 09:00PM ET,PHX,14.60
PG/SG,Alex Caruso (22155840),Alex Caruso,22155840,PG/SG/G/UTIL,4200,CHI@MIL 04/17/2022 06:30PM ET,CHI,22.01
SF/PF,Jae Crowder (22155800),Jae Crowder,22155800,SF/PF/F/UTIL,4200,NOP@PHX 04/17/2022 09:00PM ET,PHX,23.10
PG,Jose Alvarado (22155994),Jose Alvarado,22155994,PG/G/UTIL,4200,NOP@PHX 04/17/2022 09:00PM ET,NOP,15.54
SG/SF,Grayson Allen (22155899),Grayson Allen,22155899,SG/SF/F/G/UTIL,4100,CHI@MIL 04/17/2022 06:30PM ET,MIL,20.40
PG/SG,Aaron Holiday (22155934),Aaron Holiday,22155934,PG/SG/G/UTIL,4100,NOP@PHX 04/17/2022 09:00PM ET,PHX,13.81
