,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
0,1,Paul George,SF,OKC,77,36.9,4.48,3.08,7.56,19.73,http://www.espn.com/nba/player/gamelog/_/id/4251/paul-george
1,2,James Harden,PG,HOU,78,36.8,7.41,0.00,7.41,18.53,http://www.espn.com/nba/player/gamelog/_/id/3992/james-harden
2,3,Stephen Curry,PG,GS,69,33.8,5.92,0.81,6.73,15.07,http://www.espn.com/nba/player/gamelog/_/id/3975/stephen-curry
3,4,Giannis Antetokounmpo,PF,MIL,72,32.8,3.12,3.39,6.51,14.94,http://www.espn.com/nba/player/gamelog/_/id/3032977/giannis-antetokounmpo
4,5,Joel Embiid,C,PHI,64,33.7,2.70,3.71,6.41,12.91,http://www.espn.com/nba/player/gamelog/_/id/3059318/joel-embiid
5,6,Nikola Jokic,C,DEN,80,31.3,3.78,2.58,6.36,14.72,http://www.espn.com/nba/player/gamelog/_/id/3112335/nikola-jokic
6,7,Anthony Davis,PF,NO,56,33.0,2.53,3.19,5.72,10.79,http://www.espn.com/nba/player/gamelog/_/id/6583/anthony-davis
7,8,Nikola Vucevic,C,ORL,80,31.4,1.85,3.59,5.44,13.59,http://www.espn.com/nba/player/gamelog/_/id/6478/nikola-vucevic
8,9,LeBron James,SF,LAL,55,35.2,3.49,1.84,5.33,10.90,http://www.espn.com/nba/player/gamelog/_/id/1966/lebron-james
9,10,Damian Lillard,PG,POR,80,35.5,5.67,-0.48,5.19,14.72,http://www.espn.com/nba/player/gamelog/_/id/6606/damian-lillard
10,11,Danny Green,SG,TOR,80,27.7,2.89,2.11,5.00,11.62,http://www.espn.com/nba/player/gamelog/_/id/3988/danny-green
11,12,Kevin Durant,SF,GS,78,34.6,4.29,0.64,4.93,14.05,http://www.espn.com/nba/player/gamelog/_/id/3202/kevin-durant
12,13,Kyle Lowry,PG,TOR,65,34.0,2.68,2.07,4.75,11.11,http://www.espn.com/nba/player/gamelog/_/id/3012/kyle-lowry
13,14,Rudy Gobert,C,UTAH,81,31.8,0.26,4.43,4.69,13.18,http://www.espn.com/nba/player/gamelog/_/id/3032976/rudy-gobert
14,15,Chris Paul,PG,HOU,58,32.0,2.41,2.27,4.68,9.07,http://www.espn.com/nba/player/gamelog/_/id/2779/chris-paul
15,16,Jrue Holiday,PG,NO,67,35.9,3.39,1.21,4.60,12.26,http://www.espn.com/nba/player/gamelog/_/id/3995/jrue-holiday
16,17,Jimmy Butler,SG,MIN/PHI,65,33.6,2.44,2.15,4.59,10.81,http://www.espn.com/nba/player/gamelog/_/id/6430/jimmy-butler
17,18,Al Horford,C,BOS,68,29.0,1.75,2.67,4.42,9.50,http://www.espn.com/nba/player/gamelog/_/id/3213/al-horford
18,19,Paul Millsap,PF,DEN,70,27.1,1.54,2.75,4.29,8.75,http://www.espn.com/nba/player/gamelog/_/id/3015/paul-millsap
19,20,Kyrie Irving,PG,BOS,67,33.0,3.72,0.43,4.15,10.23,http://www.espn.com/nba/player/gamelog/_/id/6442/kyrie-irving
20,21,Jusuf Nurkic,C,POR,72,27.4,0.82,3.30,4.12,8.99,http://www.espn.com/nba/player/gamelog/_/id/3102530/jusuf-nurkic
21,22,Brook Lopez,C,MIL,81,28.7,0.60,3.51,4.11,11.13,http://www.espn.com/nba/player/gamelog/_/id/3448/brook-lopez
22,23,Pascal Siakam,PF,TOR,80,31.9,1.82,2.17,3.99,11.61,http://www.espn.com/nba/player/gamelog/_/id/3149673/pascal-siakam
23,24,Karl-Anthony Towns,C,MIN,77,33.1,2.98,0.83,3.81,11.28,http://www.espn.com/nba/player/gamelog/_/id/3136195/karl-anthony-towns
24,25,Marc Gasol,C,TOR/MEM,79,30.8,0.67,2.99,3.66,10.14,http://www.espn.com/nba/player/gamelog/_/id/3206/marc-gasol
25,26,Eric Bledsoe,PG,MIL,78,29.1,2.50,1.04,3.54,10.08,http://www.espn.com/nba/player/gamelog/_/id/4238/eric-bledsoe
26,27,Danilo Gallinari,SF,LAC,68,30.3,3.50,-0.03,3.47,8.55,http://www.espn.com/nba/player/gamelog/_/id/3428/danilo-gallinari
27,28,Draymond Green,PF,GS,66,31.3,-0.32,3.72,3.40,8.66,http://www.espn.com/nba/player/gamelog/_/id/6589/draymond-green
28,29,Kawhi Leonard,SF,TOR,60,34.0,3.10,0.13,3.23,8.28,http://www.espn.com/nba/player/gamelog/_/id/6450/kawhi-leonard
29,30,Kevon Looney,C,GS,80,18.5,1.29,1.94,3.23,6.03,http://www.espn.com/nba/player/gamelog/_/id/3155535/kevon-looney
30,31,Mike Conley,PG,MEM,70,33.5,3.57,-0.46,3.11,9.16,http://www.espn.com/nba/player/gamelog/_/id/3195/mike-conley
31,32,Joe Ingles,SF,UTAH,82,31.3,1.63,1.30,2.93,10.07,http://www.espn.com/nba/player/gamelog/_/id/2968436/joe-ingles
32,33,Blake Griffin,PF,DET,75,35.0,2.47,0.43,2.90,9.64,http://www.espn.com/nba/player/gamelog/_/id/3989/blake-griffin
33,34,Davis Bertans,SF,SA,76,21.5,2.46,0.44,2.90,6.32,http://www.espn.com/nba/player/gamelog/_/id/6426/davis-bertans
34,35,Ed Davis,PF,BKN,81,17.9,-1.43,4.20,2.77,5.41,http://www.espn.com/nba/player/gamelog/_/id/4259/ed-davis
35,36,Kemba Walker,PG,CHA,82,34.9,4.18,-1.48,2.70,10.58,http://www.espn.com/nba/player/gamelog/_/id/6479/kemba-walker
36,37,Andre Iguodala,SG,GS,68,23.2,0.71,1.96,2.67,5.69,http://www.espn.com/nba/player/gamelog/_/id/2386/andre-iguodala
37,38,Patrick Beverley,PG,LAC,78,27.4,1.36,1.31,2.67,7.77,http://www.espn.com/nba/player/gamelog/_/id/3964/patrick-beverley
38,39,Robert Covington,SF,MIN/PHI,35,34.4,-0.80,3.47,2.67,4.31,http://www.espn.com/nba/player/gamelog/_/id/2490620/robert-covington
39,40,Derrick Favors,PF,UTAH,76,23.2,-0.50,3.10,2.60,6.52,http://www.espn.com/nba/player/gamelog/_/id/4257/derrick-favors
0,41,DeMarcus Cousins,C,GS,30,25.7,-0.84,3.34,2.50,2.74,http://www.espn.com/nba/player/gamelog/_/id/4258/demarcus-cousins
1,42,Russell Westbrook,PG,OKC,73,36.0,2.57,-0.08,2.49,9.73,http://www.espn.com/nba/player/gamelog/_/id/3468/russell-westbrook
2,43,Andre Drummond,C,DET,79,33.5,0.56,1.81,2.37,8.81,http://www.espn.com/nba/player/gamelog/_/id/6585/andre-drummond
3,44,Rudy Gay,SF,SA,69,26.7,0.49,1.78,2.27,6.27,http://www.espn.com/nba/player/gamelog/_/id/3005/rudy-gay
4,45,Dwight Powell,PF,DAL,77,21.6,2.22,0.03,2.25,5.63,http://www.espn.com/nba/player/gamelog/_/id/2531367/dwight-powell
5,46,Marcus Smart,PG,BOS,80,27.5,0.97,1.28,2.25,7.43,http://www.espn.com/nba/player/gamelog/_/id/2990992/marcus-smart
6,47,Victor Oladipo,SG,IND,36,31.9,0.92,1.28,2.20,3.72,http://www.espn.com/nba/player/gamelog/_/id/2527963/victor-oladipo
7,48,Khris Middleton,SF,MIL,77,31.1,1.78,0.37,2.15,8.32,http://www.espn.com/nba/player/gamelog/_/id/6609/khris-middleton
