,contractSymbol,currency,contractSize,inTheMoney,impliedVolatility.raw,impliedVolatility.fmt,expiration.raw,expiration.fmt,expiration.longFmt,change.raw,change.fmt,strike.raw,strike.fmt,lastPrice.raw,lastPrice.fmt,openInterest.raw,openInterest.fmt,openInterest.longFmt,percentChange.raw,percentChange.fmt,ask.raw,ask.fmt,volume.raw,volume.fmt,volume.longFmt,lastTradeDate.raw,lastTradeDate.fmt,lastTradeDate.longFmt,bid.raw,bid.fmt
0,TSLA220715P00100000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,100.0,100.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,63.0,63,63,1657555076,2022-07-11,2022-07-11T15:57,0.0,0.00
1,TSLA220715P00120000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,120.0,120.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,25.0,25,25,1657569476,2022-07-11,2022-07-11T19:57,0.0,0.00
2,TSLA220715P00140000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,140.0,140.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,3.0,3,3,1657546826,2022-07-11,2022-07-11T13:40,0.0,0.00
3,TSLA220715P00160000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,160.0,160.00,0.07,0.07,0,0,0,0,0.00%,0.0,0.00,376.0,376,376,1657131317,2022-07-06,2022-07-06T18:15,0.0,0.00
4,TSLA220715P00180000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,180.0,180.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,223.0,223,223,1657555115,2022-07-11,2022-07-11T15:58,0.0,0.00
5,TSLA220715P00200000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,200.0,200.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,181.0,181,181,1657552646,2022-07-11,2022-07-11T15:17,0.0,0.00
6,TSLA220715P00220000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,220.0,220.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,10.0,10,10,1657568218,2022-07-11,2022-07-11T19:36,0.0,0.00
7,TSLA220715P00230000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,230.0,230.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,226.0,226,226,1657290196,2022-07-08,2022-07-08T14:23,0.0,0.00
8,TSLA220715P00240000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,240.0,240.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,3.0,3,3,1657546820,2022-07-11,2022-07-11T13:40,0.0,0.00
9,TSLA220715P00250000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,250.0,250.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,591.0,591,591,1657565117,2022-07-11,2022-07-11T18:45,0.0,0.00
10,TSLA220715P00260000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,260.0,260.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,3.0,3,3,1657550886,2022-07-11,2022-07-11T14:48,0.0,0.00
11,TSLA220715P00270000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,270.0,270.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,1.0,1,1,1657546823,2022-07-11,2022-07-11T13:40,0.0,0.00
12,TSLA220715P00280000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,280.0,280.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,54.0,54,54,1657569415,2022-07-11,2022-07-11T19:56,0.0,0.00
13,TSLA220715P00290000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,290.0,290.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,32.0,32,32,1657562931,2022-07-11,2022-07-11T18:08,0.0,0.00
14,TSLA220715P00300000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,300.0,300.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,164.0,164,164,1657569457,2022-07-11,2022-07-11T19:57,0.0,0.00
15,TSLA220715P00310000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,310.0,310.00,0.03,0.03,0,0,0,0,0.00%,0.0,0.00,1.0,1,1,1657546200,2022-07-11,2022-07-11T13:30,0.0,0.00
16,TSLA220715P00320000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,320.0,320.00,0.02,0.02,0,0,0,0,0.00%,0.0,0.00,6.0,6,6,1657568196,2022-07-11,2022-07-11T19:36,0.0,0.00
17,TSLA220715P00330000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,330.0,330.00,0.02,0.02,0,0,0,0,0.00%,0.0,0.00,86.0,86,86,1657560428,2022-07-11,2022-07-11T17:27,0.0,0.00
18,TSLA220715P00340000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,340.0,340.00,0.03,0.03,0,0,0,0,0.00%,0.0,0.00,50.0,50,50,1657561648,2022-07-11,2022-07-11T17:47,0.0,0.00
19,TSLA220715P00350000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,350.0,350.00,0.04,0.04,0,0,0,0,0.00%,0.0,0.00,118.0,118,118,1657567427,2022-07-11,2022-07-11T19:23,0.0,0.00
20,TSLA220715P00360000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,360.0,360.00,0.01,0.01,0,0,0,0,0.00%,0.0,0.00,35.0,35,35,1657560092,2022-07-11,2022-07-11T17:21,0.0,0.00
21,TSLA220715P00370000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,370.0,370.00,0.04,0.04,0,0,0,0,0.00%,0.0,0.00,43.0,43,43,1657559438,2022-07-11,2022-07-11T17:10,0.0,0.00
22,TSLA220715P00375000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,375.0,375.00,0.04,0.04,0,0,0,0,0.00%,0.0,0.00,187.0,187,187,1657569101,2022-07-11,2022-07-11T19:51,0.0,0.00
23,TSLA220715P00380000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,380.0,380.00,0.04,0.04,0,0,0,0,0.00%,0.0,0.00,25.0,25,25,1657568593,2022-07-11,2022-07-11T19:43,0.0,0.00
24,TSLA220715P00385000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,385.0,385.00,0.04,0.04,0,0,0,0,0.00%,0.0,0.00,21.0,21,21,1657568577,2022-07-11,2022-07-11T19:42,0.0,0.00
25,TSLA220715P00390000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,390.0,390.00,0.05,0.05,0,0,0,0,0.00%,0.0,0.00,161.0,161,161,1657558328,2022-07-11,2022-07-11T16:52,0.0,0.00
26,TSLA220715P00395000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,395.0,395.00,0.05,0.05,0,0,0,0,0.00%,0.0,0.00,155.0,155,155,1657569592,2022-07-11,2022-07-11T19:59,0.0,0.00
27,TSLA220715P00400000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,400.0,400.00,0.03,0.03,0,0,0,0,0.00%,0.0,0.00,3809.0,"3,809","3,809",1657569585,2022-07-11,2022-07-11T19:59,0.0,0.00
28,TSLA220715P00405000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,405.0,405.00,0.06,0.06,0,0,0,0,0.00%,0.0,0.00,263.0,263,263,1657568670,2022-07-11,2022-07-11T19:44,0.0,0.00
29,TSLA220715P00410000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,410.0,410.00,0.07,0.07,0,0,0,0,0.00%,0.0,0.00,182.0,182,182,1657569488,2022-07-11,2022-07-11T19:58,0.0,0.00
30,TSLA220715P00415000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,415.0,415.00,0.07,0.07,0,0,0,0,0.00%,0.0,0.00,82.0,82,82,1657564955,2022-07-11,2022-07-11T18:42,0.0,0.00
31,TSLA220715P00420000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,420.0,420.00,0.07,0.07,0,0,0,0,0.00%,0.0,0.00,245.0,245,245,1657569578,2022-07-11,2022-07-11T19:59,0.0,0.00
32,TSLA220715P00425000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,425.0,425.00,0.07,0.07,0,0,0,0,0.00%,0.0,0.00,528.0,528,528,1657569122,2022-07-11,2022-07-11T19:52,0.0,0.00
33,TSLA220715P00430000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,430.0,430.00,0.09,0.09,0,0,0,0,0.00%,0.0,0.00,134.0,134,134,1657569253,2022-07-11,2022-07-11T19:54,0.0,0.00
34,TSLA220715P00435000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,435.0,435.00,0.08,0.08,0,0,0,0,0.00%,0.0,0.00,819.0,819,819,1657567261,2022-07-11,2022-07-11T19:21,0.0,0.00
35,TSLA220715P00440000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,440.0,440.00,0.1,0.10,0,0,0,0,0.00%,0.0,0.00,418.0,418,418,1657568845,2022-07-11,2022-07-11T19:47,0.0,0.00
36,TSLA220715P00445000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,445.0,445.00,0.11,0.11,0,0,0,0,0.00%,0.0,0.00,345.0,345,345,1657566051,2022-07-11,2022-07-11T19:00,0.0,0.00
37,TSLA220715P00450000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,450.0,450.00,0.12,0.12,0,0,0,0,0.00%,0.0,0.00,1124.0,"1,124","1,124",1657569557,2022-07-11,2022-07-11T19:59,0.0,0.00
38,TSLA220715P00455000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,455.0,455.00,0.11,0.11,0,0,0,0,0.00%,0.0,0.00,79.0,79,79,1657568618,2022-07-11,2022-07-11T19:43,0.0,0.00
39,TSLA220715P00460000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,460.0,460.00,0.12,0.12,0,0,0,0,0.00%,0.0,0.00,118.0,118,118,1657569396,2022-07-11,2022-07-11T19:56,0.0,0.00
40,TSLA220715P00465000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,465.0,465.00,0.14,0.14,0,0,0,0,0.00%,0.0,0.00,105.0,105,105,1657566291,2022-07-11,2022-07-11T19:04,0.0,0.00
41,TSLA220715P00470000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,470.0,470.00,0.14,0.14,0,0,0,0,0.00%,0.0,0.00,372.0,372,372,1657569454,2022-07-11,2022-07-11T19:57,0.0,0.00
42,TSLA220715P00475000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,475.0,475.00,0.17,0.17,0,0,0,0,0.00%,0.0,0.00,409.0,409,409,1657567474,2022-07-11,2022-07-11T19:24,0.0,0.00
43,TSLA220715P00480000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,480.0,480.00,0.17,0.17,0,0,0,0,0.00%,0.0,0.00,646.0,646,646,1657569457,2022-07-11,2022-07-11T19:57,0.0,0.00
44,TSLA220715P00485000,USD,REGULAR,False,0.500005,50.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,485.0,485.00,0.19,0.19,0,0,0,0,0.00%,0.0,0.00,209.0,209,209,1657566525,2022-07-11,2022-07-11T19:08,0.0,0.00
