"Name","Company","State","City","Salary","Location","Url"
"Staff Mm-Wave/RF PLL IC Engineer","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=692330&s=149&guid=0000016b6ced9397aa2e0171f3f28f11&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_d9f694aa&cb=1560900638155&jobListingId=3243864288"
"Senior RF Engineer","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=692330&s=149&guid=0000016b6ced9397aa2e0171f3f28f11&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_87c3bf82&cb=1560900638156&jobListingId=3243821044"
"Application Engineer - Emulation","","OR","Hillsboro","","Hillsboro, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=182503&s=58&guid=0000016b6ced9397a80a620236405520&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_46221be9&cb=1560900638157&jobListingId=3215229286"
"Staff Mm-Wave IC Engineer - Transmitter","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=692330&s=58&guid=0000016b6ced9397a80a620236405520&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_83034141&cb=1560900638158&jobListingId=3243846643"
"Digital ASIC Verification Engineer","","OR","Beaverton","","Beaverton, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=621967&s=58&guid=0000016b6ced9397a80a620236405520&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a7c5c105&cb=1560900638159&jobListingId=3261347109"
"Telecom Engineer - Structured Cabling Systems","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=661181&s=58&guid=0000016b6ced9397a80a620236405520&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bf18b85c&cb=1560900638160&jobListingId=2816168513"
"Staff Mm-Wave IC Engineer - Receiver","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=692330&s=58&guid=0000016b6ced9397a80a620236405520&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_c9d0b9eb&cb=1560900638161&jobListingId=3243856688"
"Senior Test Engineer","","OR","Beaverton","","Beaverton, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=621967&s=58&guid=0000016b6ced9397a80a620236405520&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bf062f94&cb=1560900638162&jobListingId=3262060270"
"Principal IC Product Engineer","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=692331&s=58&guid=0000016b6ced9397a80a620236405520&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_add0a07e&cb=1560900638163&jobListingId=3243872381"
"Application Engineer","","OR","Portland","","Portland, OR","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=133469&s=58&guid=0000016b6ced9397a80a620236405520&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3045dd52&cb=1560900638164&jobListingId=3116803299"
