"Name","Company","State","City","Salary","Location","Url"
"Senior Staff Engineer, RF Product Development"," pSemi  ","CA","San Diego","$122k-$160k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=659284&s=149&guid=0000016b43d2de7a9c15fee7101668a5&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_89198150&cb=1560211022471&jobListingId=3231730081"
"Wireless Engineer - Analog/Microwave/RF"," CyberCoders  ","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=296847&s=149&guid=0000016b43d2de7a9c15fee7101668a5&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3d00428a&cb=1560211022472&jobListingId=3260955176"
"Engineer I"," CSIC  ","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=688047&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_feff2aaa&cb=1560211022473&jobListingId=3177727231"
"Hardware Engineer"," Northrop Grumman  ","CA","San Diego","$68k-$90k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=459821&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bd9782da&cb=1560211022474&jobListingId=3218073794"
"Senior Antenna Engineers"," Huawei Technologies  ","CA","San Diego","$80k-$109k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=98882&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_e45ea70c&cb=1560211022475&jobListingId=3234942891"
"Wireless Design Verification Engineer"," Apple  ","CA","San Diego","$113k-$141k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=468454&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0d69986f&cb=1560211022476&jobListingId=3040815463"
"RF Systems Engineers (Entry Level/Recent graduates) - San Diego, CA"," Qualcomm  ","CA","San Diego","$86k-$117k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_785a23b4&cb=1560211022482&jobListingId=3223610357"
"Electrical Engineer in Machine Learning Group"," Qualcomm  ","CA","San Diego","$71k-$107k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=4120&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a99699e7&cb=1560211022484&jobListingId=3258414061"
"SOC Verification Engineer"," Apple  ","CA","San Diego","$133k-$184k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=468454&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f6561782&cb=1560211022485&jobListingId=3058466498"
"Intern Electrical Engineer RF"," Cubic  ","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=242900&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_49feec90&cb=1560211022486&jobListingId=3241740637"
"Engineer Electronics"," Northrop Grumman  ","CA","San Diego","$66k-$92k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=459821&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_cc738170&cb=1560211022487&jobListingId=3229148096"
"Systems Engineer - In-Country Taiwan"," General Dynamics Information Technology  ","CA","San Diego","$67k-$123k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=370051&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5e9b1714&cb=1560211022488&jobListingId=3112316615"
"Sr. Staff Engineer, Device Engineering"," pSemi  ","CA","San Diego","$165k-$225k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=136677&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_7a2a9873&cb=1560211022489&jobListingId=3256917452"
"Principal 5G RF Module Design Engineer/RF Package Design Lead"," Qualcomm  ","CA","San Diego","$146k-$189k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=4120&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a34886f5&cb=1560211022490&jobListingId=3168255864"
"Software Test Engineer"," TrellisWare Technologies, Inc  ","CA","San Diego","$74k-$110k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=662216&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_7582b5f8&cb=1560211022491&jobListingId=3234916061"
"RFIC Layout Engineer"," Apple  ","CA","San Diego","$101k-$137k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=468454&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bc0c1218&cb=1560211022492&jobListingId=3066104308"
"RF/Analog Verification Engineer"," Qualcomm  ","CA","San Diego","$93k-$128k","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4120&s=58&guid=0000016b43d2de7ab452b84dc75f8893&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_a8f87c37&cb=1560211022493&jobListingId=3248424435"
