"Name","Company","State","City","Salary","Location","Url"
"Systems Engineer Advanced Concepts RF / EW","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=118621&s=149&guid=0000016b6ced3b15b59ec2a60d15cbdb&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0e65830e&cb=1560900615584&jobListingId=3068645301"
"Signal Processing Systems Engineer / Advanced RF / EWS","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=118621&s=149&guid=0000016b6ced3b15b59ec2a60d15cbdb&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d37284d2&cb=1560900615591&jobListingId=3239724797"
"Compliance Engineer","","CA","Santa Barbara","","Santa Barbara, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=372457&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_15e99551&cb=1560900615592&jobListingId=3237075376"
"Validation Test Engineer, Firmware & Embedded Systems","","CA","Santa Barbara","","Santa Barbara, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=372457&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_6b238000&cb=1560900615593&jobListingId=3269167447"
"Entry-Level Systems Engineer - EWS","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f20fe260&cb=1560900615594&jobListingId=3265592534"
"RF Field Engineer","","CA","Santa Barbara","","Santa Barbara, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=85058&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_0d3e60ff&cb=1560900615776&jobListingId=3266705883"
"Antenna/RF Engineer, Entry Level","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=85058&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2447338e&cb=1560900615784&jobListingId=3253220529"
"RF/ Microwave Electronics Engineer","","CA","Santa Barbara","","Santa Barbara, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=389273&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_dbf2376b&cb=1560900615785&jobListingId=3173217381"
"Application Engineer","","CA","Carpinteria","","Carpinteria, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=84846&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_04f6478e&cb=1560900615787&jobListingId=3042939789"
"Systems / Software Integration & Test Engineer","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_5ae29301&cb=1560900615789&jobListingId=3234809488"
"Lead Systems Engineer RF / EW Advanced Concepts","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8a6a02c2&cb=1560900615790&jobListingId=3243964486"
"Systems / Software I&T Engineer","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_78445b34&cb=1560900615792&jobListingId=3162534939"
"Materials and Processes Engineer","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=85058&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c94b0ae3&cb=1560900615793&jobListingId=3253151265"
"Lead EW / RF Systems Engineer","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_421b8802&cb=1560900615794&jobListingId=3243578234"
"Senior Systems Engineer - Emerging EW Systems","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3a060d81&cb=1560900615796&jobListingId=3244873084"
"Principal Systems Engineer EWS Emerging Technologies","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4cba2abb&cb=1560900615797&jobListingId=3068645566"
"Applications Engineer","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=115&ao=4321&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_cc322b6d&cb=1560900615798&jobListingId=3248425401"
"Systems Engineer - Test / Radar / Integration (EWS)","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_eff74a36&cb=1560900615799&jobListingId=3198778988"
"Systems Engineer - Emerging EW & Radar Solutions","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=117&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_860f539f&cb=1560900615800&jobListingId=3189833476"
"LEAD EWS / RF Systems Engineer","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2831cc5e&cb=1560900615802&jobListingId=3091890501"
"Software Engineer","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=85058&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_507ff2b6&cb=1560900615803&jobListingId=3256819204"
"Lead Electronic Warfare (EW) Systems Engineer","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=118621&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_c9f55f7e&cb=1560900615804&jobListingId=3243964465"
"Applications Engineer – Advanced Technologies & Innovation","","CA","Carpinteria","","Carpinteria, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=121&ao=283198&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_40b5856e&cb=1560900615805&jobListingId=3247482248"
"Mechanical Engineer II","","CA","Goleta","","Goleta, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=133207&s=58&guid=0000016b6ced3b15bcef43f6ec951891&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_3020e858&cb=1560900615807&jobListingId=3246541232"
