"Name","Company","State","City","Salary","Location","Url"
"RFIC Senior Design Engineer","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=621961&s=149&guid=0000016b6d7c3bf0a795de84a57c7ebd&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b079946f&cb=1560909987082&jobListingId=3250061494"
"Staff Mm-Wave IC Engineer - Receiver","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=692330&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_ba27a1e2&cb=1560909987084&jobListingId=3243857901"
"Staff Mm-Wave/RF PLL IC Engineer","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=692330&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_bb33cf0d&cb=1560909987086&jobListingId=3243865211"
"Staff Mm-Wave IC Engineer - Transmitter","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=692330&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_126b0215&cb=1560909987087&jobListingId=3243848255"
"IC Designer","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=242900&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_ddc242f3&cb=1560909987089&jobListingId=3123614568"
"RFIC/mm-wave Design Engineer","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=66506&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_2ece6f20&cb=1560909987090&jobListingId=3254839759"
"IC Designer Moen","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=352789&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_d97377bd&cb=1560909987092&jobListingId=3123992888"
"Senior RFIC Design Engineer","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=242900&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_8adb4549&cb=1560909987094&jobListingId=3227600804"
"RF Design Validation Test Engineer (""DVT"")","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=66506&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_3d04af9f&cb=1560909987095&jobListingId=3244011174"
"RF/Analog Design Engineer","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=4120&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_d1018178&cb=1560909987097&jobListingId=3061590032"
"RF Design Engineer - Telecom/ Wireless","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=4011&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_4153c1af&cb=1560909987098&jobListingId=2730902332"
"RF Design Engineer","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=4011&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_2f681030&cb=1560909987099&jobListingId=2784268003"
"RF Design Engineer III","","CA","Cypress","","Cypress, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=112&ao=136187&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_034be64b&cb=1560909987101&jobListingId=3156813413"
"Staff Mm-Wave IC Engineer-Transmitter","","CA","Irvine","","Irvine, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=113&ao=389273&s=58&guid=0000016b6d7c3bf0b727a6a3d04b9a82&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&ea=1&cs=1_20801297&cb=1560909987103&jobListingId=3218689553"
