"Name","Company","State","City","Salary","Location","Url"
"Staff Engineer, RFIC Design","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=659285&s=149&guid=0000016b6d7bceb5ac52803dd184b3e9&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_91f80f45&cb=1560909959221&jobListingId=3167037402"
"Principal Engineer, RFIC Design","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=659285&s=149&guid=0000016b6d7bceb5ac52803dd184b3e9&src=GD_JOB_AD&t=SRFJ&extid=4&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_94abdfde&cb=1560909959222&jobListingId=3133439152"
"Senior Manager, RFFE Digital Design","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=659283&s=58&guid=0000016b6d7bceb58fc4b0b09aaf82fc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_b3650bf1&cb=1560909959223&jobListingId=3163191537"
"Senior RFIC Design Lead","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=468454&s=58&guid=0000016b6d7bceb58fc4b0b09aaf82fc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1068933c&cb=1560909959224&jobListingId=3018770411"
"RFIC Layout Engineer","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=468454&s=58&guid=0000016b6d7bceb58fc4b0b09aaf82fc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f7df7f8b&cb=1560909959225&jobListingId=3066104308"
"RFIC Design Engineer","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=468454&s=58&guid=0000016b6d7bceb58fc4b0b09aaf82fc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_741caa98&cb=1560909959226&jobListingId=3018556015"
"RFIC Design Engineers","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=4120&s=58&guid=0000016b6d7bceb58fc4b0b09aaf82fc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_1415fbc0&cb=1560909959227&jobListingId=3088643055"
"RF Architect","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=135079&s=58&guid=0000016b6d7bceb58fc4b0b09aaf82fc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_f45044df&cb=1560909959228&jobListingId=3199489411"
"Intern, RFIC Design","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=136677&s=58&guid=0000016b6d7bceb58fc4b0b09aaf82fc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_bd9153b8&cb=1560909959229&jobListingId=3221841670"
"Senior RFIC Design Engineer","","CA","San Diego","","San Diego, CA","https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=135079&s=58&guid=0000016b6d7bceb58fc4b0b09aaf82fc&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&cs=1_9e35bd10&cb=1560909959230&jobListingId=3165461438"
