County,Zip Code,Active,Inactive,Judge,Not Eligible,Total
San Diego,91901,25,8,0,2,35
San Diego,91902,33,29,0,2,64
San Diego,91903,7,5,0,1,13
San Diego,91905,0,1,0,0,1
San Diego,91906,2,0,0,0,2
San Diego,91908,5,5,0,2,12
San Diego,91910,189,27,2,14,232
San Diego,91911,16,7,0,5,28
San Diego,91912,7,4,0,2,13
San Diego,91913,16,11,0,1,28
San Diego,91914,28,5,0,0,33
San Diego,91915,16,11,0,4,31
San Diego,91916,0,1,0,1,2
San Diego,91917,0,1,0,0,1
San Diego,91921,13,4,0,1,18
San Diego,91932,9,6,0,3,18
San Diego,91933,1,1,0,0,2
San Diego,91935,11,12,0,2,25
San Diego,91941,58,61,0,12,131
San Diego,91942,127,43,0,4,174
San Diego,91943,10,2,0,0,12
San Diego,91944,7,10,0,2,19
San Diego,91945,9,9,0,0,18
San Diego,91946,2,1,0,1,4
San Diego,91948,0,1,0,0,1
San Diego,91950,18,7,0,3,28
San Diego,91951,0,0,0,1,1
San Diego,91962,3,1,0,2,6
San Diego,91976,4,2,0,0,6
San Diego,91977,12,16,0,4,32
San Diego,91978,4,7,0,2,13
San Diego,91979,2,1,0,0,3
San Diego,92001,0,1,0,0,1
San Diego,92003,23,11,0,0,34
San Diego,92004,5,6,0,0,11
San Diego,92006,0,0,0,1,1
San Diego,92007,71,38,0,3,112
San Diego,92008,390,53,0,13,456
San Diego,92009,162,97,0,14,273
San Diego,92010,86,17,0,5,108
San Diego,92011,139,55,0,7,201
San Diego,92013,17,6,0,1,24
San Diego,92014,149,108,0,21,278
San Diego,92018,20,4,0,0,24
San Diego,92019,39,31,0,9,79
San Diego,92020,125,42,1,11,179
San Diego,92021,25,9,0,7,41
San Diego,92022,5,3,0,1,9
San Diego,92023,30,16,0,3,49
San Diego,92024,287,138,0,31,456
San Diego,92025,155,46,0,9,210
San Diego,92026,28,30,0,8,66
San Diego,92027,22,15,0,2,39
San Diego,92028,43,53,0,7,103
San Diego,92029,29,28,0,2,59
San Diego,92030,4,1,0,1,6
San Diego,92032,0,0,0,2,2
San Diego,92033,6,3,0,0,9
San Diego,92035,0,1,0,0,1
San Diego,92036,8,7,0,3,18
San Diego,92037,535,251,1,59,846
San Diego,92038,41,15,0,5,61
San Diego,92039,10,4,0,1,15
San Diego,92040,21,10,0,4,35
San Diego,92041,1,2,0,2,5
San Diego,92042,0,2,0,0,2
San Diego,92046,6,1,0,0,7
San Diego,92049,7,4,0,2,13
San Diego,92050,0,0,0,1,1
San Diego,92051,2,2,0,1,5
San Diego,92052,14,1,0,0,15
San Diego,92054,93,27,0,12,132
San Diego,92055,14,0,0,0,14
San Diego,92056,57,49,0,12,118
San Diego,92057,35,31,0,6,72
San Diego,92058,11,7,0,1,19
San Diego,92059,1,0,0,0,1
San Diego,92060,2,0,0,0,2
San Diego,92061,3,2,0,2,7
San Diego,92064,96,63,0,10,169
San Diego,92065,26,27,0,5,58
San Diego,92066,0,1,0,0,1
San Diego,92067,167,95,0,18,280
San Diego,92068,2,1,0,0,3
San Diego,92069,41,25,0,10,76
San Diego,92070,1,1,0,0,2
San Diego,92071,21,22,0,9,52
San Diego,92072,2,2,0,2,6
San Diego,92074,8,3,0,2,13
San Diego,92075,219,60,0,10,289
San Diego,92077,0,2,0,0,2
San Diego,92078,102,46,0,3,151
San Diego,92079,5,2,0,2,9
San Diego,92081,181,28,3,4,216
San Diego,92082,21,16,0,3,40
San Diego,92083,25,7,0,7,39
San Diego,92084,55,31,0,3,89
